,TEAM,TOTALDVOA,LASTWEEK,TOTALDAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,NE,52.1%,3,32.2%,1,3-0,44.7%,1,-0.1%,16,7.4%,4
2,ARI,49.8%,1,25.2%,3,3-1,22.7%,5,-23.2%,3,3.9%,9
3,GB,42.5%,2,27.3%,2,4-0,31.1%,3,-9.0%,7,2.4%,13
4,CIN,40.3%,4,25.0%,4,4-0,36.5%,2,-5.7%,10,-1.8%,22
5,ATL,18.6%,10,11.5%,8,4-0,23.7%,4,7.6%,23,2.5%,12
6,PIT,17.7%,6,11.6%,7,2-2,20.9%,6,-1.3%,13,-4.5%,24
7,DEN,16.9%,7,15.9%,6,4-0,-23.8%,30,-33.2%,1,7.5%,3
8,BUF,16.3%,5,6.5%,11,2-2,10.8%,7,-5.0%,11,0.6%,14
9,NYJ,15.7%,9,8.8%,9,3-1,-2.9%,16,-25.5%,2,-6.9%,27
10,CAR,11.6%,8,4.8%,12,4-0,2.7%,11,-18.5%,4,-9.6%,30
11,NYG,10.2%,13,4.1%,13,2-2,-0.4%,15,-6.8%,9,3.8%,10
12,SEA,9.8%,12,16.1%,5,2-2,-6.0%,20,-0.9%,14,14.8%,1
13,STL,6.7%,17,7.2%,10,2-2,-6.0%,21,-7.6%,8,5.2%,6
14,BAL,2.2%,20,3.7%,14,1-3,-4.8%,19,-1.9%,12,5.0%,7
15,TEN,1.6%,11,-8.0%,24,1-2,1.4%,13,-9.5%,6,-9.3%,29
16,OAK,1.5%,14,-3.8%,18,2-2,2.9%,10,7.8%,24,6.3%,5
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,PHI,0.1%,18,2.0%,15,1-3,-13.0%,26,-14.1%,5,-0.9%,20
18,WAS,-1.2%,19,-9.5%,25,2-2,1.1%,14,1.5%,17,-0.8%,19
19,DAL,-3.5%,15,-2.6%,16,2-2,4.6%,9,6.7%,22,-1.3%,21
20,MIN,-8.6%,16,-2.7%,17,2-2,-3.0%,17,5.0%,21,-0.6%,18
21,IND,-12.8%,22,-4.6%,20,2-2,-8.3%,24,4.2%,19,-0.3%,17
22,DET,-12.8%,23,-5.3%,21,0-4,-7.9%,23,5.0%,20,0.1%,16
23,SD,-13.3%,24,-4.6%,19,2-2,2.7%,12,8.0%,25,-7.9%,28
24,CLE,-13.7%,25,-12.1%,26,1-3,-12.2%,25,13.7%,27,12.3%,2
25,NO,-14.5%,29,-7.4%,23,1-3,5.9%,8,20.9%,32,0.4%,15
26,JAC,-15.9%,27,-16.1%,27,1-3,-7.0%,22,3.5%,18,-5.3%,25
27,KC,-16.7%,21,-6.6%,22,1-3,-3.3%,18,17.8%,30,4.5%,8
28,MIA,-28.6%,26,-17.4%,28,1-3,-14.2%,28,17.0%,28,2.7%,11
29,TB,-36.6%,30,-26.9%,31,1-3,-33.4%,32,-0.9%,15,-4.1%,23
30,HOU,-41.3%,28,-25.1%,29,1-3,-19.4%,29,9.9%,26,-11.9%,32
31,CHI,-41.5%,32,-25.9%,30,1-3,-13.6%,27,18.0%,31,-9.9%,31
32,SF,-48.9%,31,-28.5%,32,1-3,-25.8%,31,17.1%,29,-6.0%,26
