,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,CIN,32.6%,1,31.8%,3,10-3,21.1%,1,-7.9%,8,3.6%,3
2,SEA,32.0%,2,39.8%,1,8-5,18.0%,4,-11.1%,6,2.9%,8
3,NE,28.7%,5,25.5%,5,11-2,19.4%,2,-5.9%,9,3.5%,4
4,KC,28.2%,4,35.8%,2,8-5,12.3%,6,-12.6%,3,3.4%,6
5,CAR,27.9%,6,30.6%,4,13-0,7.6%,10,-23.5%,2,-3.3%,28
6,ARI,26.5%,3,18.2%,7,11-2,15.7%,5,-12.2%,4,-1.4%,21
7,PIT,22.0%,7,23.4%,6,8-5,18.1%,3,-3.7%,12,0.2%,15
8,DEN,16.4%,8,16.5%,8,10-3,-14.2%,28,-29.5%,1,1.1%,14
9,GB,13.8%,9,5.9%,10,9-4,9.3%,8,-4.7%,10,-0.2%,17
10,NYJ,12.1%,10,9.7%,9,8-5,2.4%,13,-12.0%,5,-2.3%,23
11,BUF,6.4%,11,5.7%,11,6-7,11.7%,7,7.0%,24,1.7%,10
12,OAK,2.5%,12,5.4%,12,6-7,5.5%,11,1.7%,16,-1.3%,20
13,MIN,0.0%,13,5.3%,13,8-5,-0.9%,15,2.5%,18,3.4%,5
14,NYG,-3.3%,17,-1.6%,17,6-7,-1.3%,16,8.0%,27,5.9%,2
15,DET,-3.6%,16,1.6%,15,4-9,-4.2%,19,1.2%,15,1.8%,9
16,TB,-5.1%,14,2.0%,14,6-7,-2.1%,18,0.4%,14,-2.6%,26
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,WAS,-5.6%,18,-3.8%,18,6-7,-4.2%,20,4.3%,20,3.0%,7
18,PHI,-6.0%,20,-5.5%,19,6-7,-11.6%,25,-4.0%,11,1.6%,12
19,BAL,-7.1%,15,-8.9%,22,4-9,-7.1%,23,6.6%,23,6.5%,1
20,CHI,-7.1%,21,-1.1%,16,5-8,4.4%,12,7.7%,26,-3.9%,29
21,STL,-8.0%,22,-10.8%,23,5-8,-20.5%,32,-10.8%,7,1.7%,11
22,HOU,-8.8%,19,-7.2%,20,6-7,-6.7%,22,-2.9%,13,-5.0%,32
23,JAC,-8.8%,25,-8.4%,21,5-8,-1.4%,17,6.2%,22,-1.2%,19
24,ATL,-16.5%,23,-20.2%,28,6-7,-7.1%,24,7.4%,25,-2.0%,22
25,MIA,-17.1%,27,-17.6%,25,5-8,-5.5%,21,9.1%,28,-2.5%,25
26,DAL,-17.4%,26,-17.7%,26,4-9,-14.6%,30,4.0%,19,1.3%,13
27,NO,-17.5%,28,-14.5%,24,5-8,8.9%,9,24.0%,32,-2.3%,24
28,IND,-17.6%,24,-18.6%,27,6-7,-14.4%,29,2.3%,17,-0.9%,18
29,SD,-18.7%,29,-22.8%,29,3-10,0.7%,14,14.7%,31,-4.7%,31
30,TEN,-22.1%,30,-25.1%,30,3-10,-12.8%,27,5.4%,21,-4.0%,30
31,CLE,-23.7%,31,-26.9%,31,3-10,-12.7%,26,10.9%,29,-0.2%,16
32,SF,-32.1%,32,-31.6%,32,4-9,-16.8%,31,12.4%,30,-2.9%,27
