,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,42.9%,1,42.5%,1,7-1,37.7%,1,0.5%,18,5.6%,5
2,SEA,32.4%,2,32.2%,2,7-1,4.4%,14,-23.2%,1,4.9%,8
3,IND,26.1%,3,26.2%,3,5-2,17.1%,5,-4.4%,9,4.6%,9
4,CAR,23.5%,6,23.6%,4,4-3,12.8%,9,-9.9%,5,0.8%,14
5,CIN,22.4%,11,22.8%,5,6-2,7.5%,11,-11.0%,4,3.8%,11
6,CHI,20.9%,8,21.2%,6,4-3,17.0%,7,0.3%,17,4.2%,10
7,NO,20.5%,7,20.3%,8,6-1,17.8%,4,-2.9%,12,-0.1%,19
8,SF,20.0%,10,20.3%,7,6-2,17.1%,6,-2.1%,14,0.8%,15
9,GB,19.6%,5,19.6%,9,5-2,28.6%,2,6.1%,26,-2.8%,25
10,KC,17.6%,4,17.3%,10,8-0,-1.6%,16,-12.7%,3,6.5%,3
11,DAL,11.9%,9,12.2%,11,4-4,6.7%,12,2.1%,21,7.3%,2
12,DET,7.7%,14,7.8%,12,5-3,13.3%,8,3.8%,25,-1.8%,24
13,NE,7.2%,12,7.2%,13,6-2,-6.4%,20,-6.2%,6,7.4%,1
14,ARI,2.7%,19,3.2%,14,4-4,-14.6%,26,-17.2%,2,0.1%,18
15,SD,1.3%,13,1.2%,15,4-3,25.0%,3,22.8%,32,-1.0%,23
16,PIT,-4.1%,18,-4.0%,16,2-5,-2.7%,17,0.8%,19,-0.6%,20
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,BUF,-7.0%,17,-7.4%,17,3-5,-9.3%,21,-6.0%,7,-3.7%,27
18,ATL,-7.7%,15,-8.0%,18,2-5,8.6%,10,15.6%,30,-0.7%,22
19,BAL,-8.6%,23,-8.4%,19,3-4,-14.5%,25,-4.2%,10,1.7%,13
20,TEN,-9.6%,21,-10.0%,21,3-4,-3.1%,18,-1.3%,15,-7.9%,29
21,CLE,-9.8%,25,-9.7%,20,3-5,-11.4%,23,3.5%,23,5.1%,6
22,MIA,-10.0%,22,-10.2%,22,3-4,-6.0%,19,3.3%,22,-0.7%,21
23,NYJ,-11.2%,16,-11.3%,23,4-4,-22.1%,31,-5.9%,8,5.0%,7
24,PHI,-12.4%,20,-12.2%,24,3-5,6.3%,13,13.5%,29,-5.2%,28
25,MIN,-13.6%,27,-13.9%,25,1-6,-10.4%,22,8.9%,28,5.7%,4
26,STL,-14.8%,26,-14.4%,26,3-5,-13.6%,24,3.7%,24,2.5%,12
27,TB,-17.3%,24,-17.7%,27,0-7,-18.0%,30,-0.3%,16,0.5%,16
28,OAK,-22.1%,28,-21.7%,28,3-4,-16.8%,28,1.8%,20,-3.4%,26
29,HOU,-23.7%,30,-24.4%,30,2-5,-17.1%,29,-3.1%,11,-9.7%,30
30,WAS,-24.2%,29,-24.3%,29,2-5,-0.4%,15,8.0%,27,-15.8%,32
31,NYG,-25.3%,31,-24.8%,31,2-6,-16.5%,27,-2.4%,13,-11.2%,31
32,JAC,-62.2%,32,-61.8%,32,0-8,-40.5%,32,22.1%,31,0.3%,17
