,TEAM,TOTALDVOA,LASTWEEK,TOTALDAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,NE,39.7%,2,35.5%,1,6-0,30.6%,2,-0.7%,11,8.4%,1
2,ARI,39.2%,1,34.7%,2,5-2,23.8%,3,-17.4%,4,-2.0%,21
3,GB,39.0%,3,33.1%,3,6-0,21.8%,4,-14.4%,7,2.9%,9
4,CIN,34.1%,4,28.9%,4,6-0,32.7%,1,2.1%,13,3.5%,8
5,NYJ,28.2%,5,23.2%,5,4-2,7.1%,6,-27.6%,2,-6.5%,30
6,SEA,17.7%,9,18.2%,6,3-4,2.7%,15,-7.0%,8,8.0%,2
7,CAR,16.2%,10,12.6%,7,6-0,4.7%,9,-16.8%,6,-5.2%,28
8,PHI,12.8%,7,12.2%,8,3-4,-7.1%,23,-19.0%,3,0.9%,14
9,PIT,12.2%,6,11.2%,9,4-3,14.7%,5,2.9%,16,0.4%,16
10,BUF,6.6%,8,5.1%,12,3-4,4.2%,11,-0.9%,10,1.6%,11
11,DEN,6.2%,11,7.7%,10,6-0,-28.4%,32,-31.9%,1,2.7%,10
12,NYG,6.0%,12,5.1%,11,4-3,0.3%,17,0.0%,12,5.7%,4
13,OAK,4.6%,16,1.9%,16,3-3,3.1%,14,2.2%,14,3.6%,7
14,MIA,2.2%,22,1.9%,15,3-3,4.6%,10,2.7%,15,0.3%,17
15,KC,2.0%,18,2.4%,14,2-5,3.4%,13,5.1%,20,3.8%,6
16,STL,1.9%,17,3.1%,13,3-3,-16.5%,30,-16.9%,5,1.4%,12
,  ,  ,  , , ,  ,  ,  ,  ,  ,  ,  
17,ATL,-1.3%,14,-1.2%,17,6-1,6.6%,7,3.7%,17,-4.3%,26
18,BAL,-2.5%,13,-1.7%,18,1-6,-1.8%,18,6.2%,23,5.5%,5
19,WAS,-3.2%,15,-4.7%,19,3-4,0.6%,16,5.1%,19,1.2%,13
20,NO,-9.9%,25,-8.7%,20,3-4,6.5%,8,14.3%,31,-2.1%,22
21,IND,-10.2%,19,-8.8%,21,3-4,-4.5%,20,5.3%,21,-0.4%,20
22,TEN,-12.1%,23,-12.7%,22,1-5,-15.4%,29,-6.1%,9,-2.8%,24
23,CLE,-14.5%,20,-14.1%,23,2-5,-9.3%,24,12.2%,27,7.0%,3
24,SD,-16.6%,21,-14.5%,25,2-5,3.6%,12,13.4%,30,-6.8%,31
25,JAC,-16.6%,27,-16.6%,27,2-5,-6.1%,21,4.6%,18,-6.0%,29
26,DAL,-16.8%,24,-14.1%,24,2-4,-4.4%,19,7.2%,25,-5.1%,27
27,TB,-18.5%,28,-17.3%,28,2-4,-12.4%,26,6.0%,22,-0.1%,18
28,MIN,-20.4%,26,-15.9%,26,4-2,-14.7%,28,6.2%,24,0.4%,15
29,DET,-23.5%,29,-21.1%,30,1-6,-10.6%,25,12.5%,28,-0.4%,19
30,CHI,-23.5%,30,-19.8%,29,2-4,-6.4%,22,13.1%,29,-4.0%,25
31,HOU,-31.7%,31,-29.5%,31,2-5,-14.4%,27,10.3%,26,-7.0%,32
32,SF,-36.9%,32,-33.8%,32,2-5,-17.9%,31,16.6%,32,-2.4%,23
