,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,SEA,39.1%,1,38.7%,1,11-2,13.1%,6,-20.2%,1,5.8%,5
2,DEN,32.8%,2,28.8%,2,11-2,32.3%,1,-0.8%,16,-0.4%,18
3,CAR,25.5%,3,28.3%,3,9-4,9.2%,9,-15.2%,3,1.1%,12
4,NO,23.3%,4,25.5%,4,10-3,17.8%,4,-6.7%,11,-1.3%,23
5,KC,18.3%,8,17.5%,8,10-3,1.7%,16,-6.8%,9,9.7%,1
6,NE,17.7%,5,20.9%,5,10-3,13.1%,7,1.9%,18,6.5%,3
7,CIN,17.0%,7,19.0%,7,9-4,-0.6%,17,-12.2%,4,5.5%,6
8,SF,15.9%,6,20.7%,6,9-4,4.4%,14,-8.6%,7,2.9%,10
9,CHI,11.9%,10,9.0%,11,7-6,15.6%,5,4.3%,19,0.6%,14
10,ARI,10.8%,11,13.8%,9,8-5,-4.8%,20,-19.1%,2,-3.6%,25
11,PHI,10.5%,9,12.4%,10,8-5,19.9%,3,5.6%,22,-3.8%,26
12,DET,3.5%,13,4.3%,12,7-6,1.7%,15,-1.3%,14,0.4%,16
13,TB,1.0%,19,1.4%,15,4-9,-9.8%,24,-11.4%,6,-0.6%,19
14,SD,0.8%,18,2.6%,14,6-7,22.2%,2,21.9%,32,0.5%,15
15,DAL,0.6%,14,-0.7%,17,7-6,9.6%,8,13.1%,30,4.1%,8
16,PIT,0.5%,16,2.9%,13,5-8,5.9%,12,5.3%,20,-0.1%,17
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,IND,0.0%,15,-4.1%,19,8-5,7.7%,11,7.1%,25,-0.6%,20
18,STL,-1.2%,12,0.9%,16,5-8,-8.3%,23,-1.0%,15,6.1%,4
19,MIA,-1.4%,17,-0.8%,18,7-6,-0.8%,18,-1.8%,13,-2.4%,24
20,GB,-6.6%,21,-11.9%,23,6-6-1,7.9%,10,13.4%,31,-1.1%,21
21,BAL,-6.6%,23,-4.2%,20,7-6,-21.6%,30,-8.5%,8,6.5%,2
22,BUF,-6.9%,20,-12.3%,24,4-9,-13.3%,25,-11.8%,5,-5.4%,28
23,TEN,-8.4%,22,-7.1%,21,5-8,-4.0%,19,0.1%,17,-4.4%,27
24,ATL,-9.4%,24,-12.9%,25,3-10,4.7%,13,13.0%,29,-1.1%,22
25,MIN,-13.9%,26,-13.3%,26,3-9-1,-8.2%,22,8.7%,27,3.0%,9
26,NYJ,-14.2%,27,-15.9%,27,6-7,-24.9%,31,-5.8%,12,4.9%,7
27,NYG,-15.1%,25,-10.7%,22,5-8,-15.3%,28,-6.8%,10,-6.6%,31
28,CLE,-20.0%,29,-19.3%,28,4-9,-14.4%,27,6.3%,23,0.7%,13
29,HOU,-25.5%,30,-28.2%,30,2-11,-13.7%,26,5.5%,21,-6.3%,29
30,WAS,-27.6%,28,-25.4%,29,3-10,-4.9%,21,8.4%,26,-14.3%,32
31,OAK,-30.3%,31,-30.8%,31,4-9,-17.2%,29,6.8%,24,-6.3%,30
32,JAC,-43.2%,32,-35.6%,32,4-9,-33.9%,32,11.8%,28,2.4%,11
