,TEAM,TOTALDVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,51.3%,1,42.8%,1,5-0,52.2%,1,11.8%,25,10.9%,1
2,SEA,34.9%,2,31.3%,2,4-1,8.9%,9,-19.7%,2,6.3%,4
3,KC,29.4%,3,16.9%,5,5-0,1.1%,14,-19.9%,1,8.4%,2
4,IND,23.7%,5,15.6%,6,4-1,21.4%,4,-2.6%,17,-0.3%,18
5,NO,21.5%,4,18.0%,4,5-0,16.5%,6,-3.2%,16,1.9%,13
6,GB,15.6%,9,19.1%,3,2-2,27.7%,2,14.8%,28,2.7%,10
7,CHI,15.3%,11,10.9%,9,3-2,8.7%,10,-6.0%,15,0.6%,15
8,SF,13.5%,18,13.9%,7,3-2,4.0%,11,-10.5%,8,-1.0%,20
9,CIN,11.4%,15,9.9%,11,3-2,-4.3%,21,-12.1%,6,3.6%,8
10,CAR,9.2%,6,12.0%,8,1-3,-0.2%,16,-10.7%,7,-1.2%,22
11,BUF,8.0%,10,1.9%,15,2-3,-1.3%,18,-12.9%,5,-3.6%,27
12,NE,6.4%,7,10.8%,10,4-1,-6.5%,22,-6.3%,14,6.6%,3
13,DAL,4.8%,16,2.1%,14,2-3,15.3%,7,10.7%,23,0.2%,17
14,DET,3.9%,13,2.3%,13,3-2,2.8%,12,-2.2%,18,-1.1%,21
15,NYJ,2.1%,20,-0.3%,16,3-2,-16.2%,27,-13.2%,4,5.1%,5
16,TEN,1.3%,8,-3.8%,19,3-2,-0.7%,17,-9.0%,11,-6.9%,28
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,MIN,-1.1%,21,-6.1%,23,1-3,0.6%,15,6.2%,19,4.6%,6
18,BAL,-1.6%,23,2.7%,12,3-2,-14.8%,25,-9.0%,10,4.2%,7
19,SD,-3.4%,12,-4.3%,20,2-3,23.4%,3,24.3%,32,-2.5%,26
20,ATL,-3.9%,14,-1.6%,17,1-4,13.8%,8,18.2%,31,0.5%,16
21,PHI,-4.0%,26,-3.1%,18,2-3,19.5%,5,15.7%,29,-7.8%,29
22,TB,-5.9%,22,-5.7%,21,0-4,-23.4%,30,-18.9%,3,-1.4%,23
23,CLE,-8.7%,24,-8.6%,26,3-2,-18.9%,29,-7.1%,13,3.1%,9
24,ARI,-8.9%,27,-9.2%,27,3-2,-18.3%,28,-8.6%,12,0.7%,14
25,MIA,-10.4%,19,-10.3%,28,3-2,-3.2%,20,9.6%,22,2.4%,11
26,PIT,-10.9%,25,-6.3%,24,0-4,-2.4%,19,6.6%,20,-1.9%,24
27,HOU,-14.0%,17,-8.6%,25,2-3,-13.6%,24,-9.2%,9,-9.6%,31
28,WAS,-20.5%,28,-5.7%,22,1-3,2.8%,13,14.3%,27,-9.0%,30
29,OAK,-21.7%,29,-20.3%,29,2-3,-8.8%,23,11.0%,24,-1.9%,25
30,STL,-25.6%,30,-23.5%,30,2-3,-15.1%,26,12.7%,26,2.2%,12
31,NYG,-46.1%,31,-33.1%,31,0-5,-25.1%,31,7.6%,21,-13.4%,32
32,JAC,-76.0%,32,-61.0%,32,0-5,-59.4%,32,16.1%,30,-0.4%,19
