,TEAM,TOTALDVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,CIN,41.7%,1,21.2%,3,3-0,19.2%,5,-21.5%,1,1.0%,13
2,SEA,32.7%,4,23.8%,2,2-1,25.4%,2,-8.9%,8,-1.6%,21
3,DEN,30.3%,3,26.8%,1,2-1,19.7%,4,-11.2%,4,-0.7%,18
4,ATL,26.2%,2,12.6%,5,2-2,26.6%,1,10.9%,27,10.6%,2
5,BAL,21.1%,14,9.0%,7,3-1,16.1%,6,-4.7%,13,0.3%,15
6,GB,20.8%,17,18.3%,4,2-2,14.8%,8,-1.1%,18,4.9%,5
7,DET,16.2%,11,5.8%,10,3-1,4.0%,15,-20.6%,2,-8.4%,28
8,ARI,16.1%,12,5.0%,12,3-0,-4.0%,21,-14.4%,3,5.7%,4
9,PHI,10.5%,8,7.9%,8,3-1,-8.3%,22,-7.9%,11,10.9%,1
10,BUF,8.4%,6,3.7%,14,2-2,-10.8%,23,-8.6%,9,10.5%,3
11,NYG,8.3%,28,2.1%,17,2-2,1.0%,18,-11.1%,5,-3.8%,26
12,SD,7.8%,20,9.1%,6,3-1,4.5%,13,-2.5%,15,0.8%,14
13,DAL,7.1%,19,0.5%,19,3-1,12.1%,10,8.3%,23,3.3%,8
14,CHI,6.4%,5,7.6%,9,2-2,4.2%,14,-3.3%,14,-1.2%,20
15,PIT,5.1%,10,4.3%,13,2-2,12.5%,9,10.1%,26,2.7%,10
16,CLE,4.4%,16,-5.4%,22,1-2,20.8%,3,13.4%,29,-3.0%,25
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,IND,2.5%,21,0.7%,18,2-2,9.0%,11,9.9%,25,3.5%,7
18,KC,2.3%,27,-2.0%,20,2-2,5.6%,12,3.5%,19,0.2%,16
19,SF,0.9%,18,5.3%,11,2-2,1.1%,17,-9.3%,6,-9.5%,30
20,MIA,-4.7%,24,-5.1%,21,2-2,-2.6%,20,-9.2%,7,-11.3%,32
21,NO,-4.9%,13,2.9%,16,1-3,15.7%,7,20.2%,32,-0.5%,17
22,WAS,-5.5%,9,-7.1%,23,1-3,3.3%,16,-2.3%,16,-11.1%,31
23,NE,-5.8%,7,3.2%,15,2-2,-17.0%,28,-8.0%,10,3.2%,9
24,HOU,-7.2%,22,-8.1%,24,3-1,-11.1%,25,-6.5%,12,-2.7%,23
25,NYJ,-16.3%,23,-10.3%,27,1-3,-19.7%,29,-1.4%,17,1.9%,11
26,MIN,-17.6%,30,-10.2%,26,2-2,-10.8%,24,7.9%,22,1.1%,12
27,CAR,-18.3%,15,-9.4%,25,2-2,-2.5%,19,13.1%,28,-2.7%,24
28,TEN,-27.9%,25,-17.9%,29,1-3,-16.0%,26,5.8%,20,-6.2%,27
29,STL,-31.6%,29,-15.6%,28,1-2,-16.7%,27,14.2%,30,-0.7%,19
30,OAK,-33.9%,26,-26.8%,30,0-4,-31.1%,31,6.9%,21,4.2%,6
31,TB,-48.3%,32,-26.9%,31,1-3,-30.8%,30,8.8%,24,-8.6%,29
32,JAC,-50.1%,31,-33.7%,32,0-4,-33.9%,32,14.3%,31,-1.8%,22
