,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,31.5%,1,30.4%,1,7-3,18.5%,2,-17.2%,2,-4.2%,27
2,GB,23.9%,3,24.9%,2,7-3,22.5%,1,-1.6%,10,-0.2%,16
3,BAL,22.0%,2,23.3%,3,6-4,7.9%,12,-5.7%,7,8.4%,1
4,MIA,20.0%,6,22.1%,4,6-4,8.1%,10,-16.0%,3,-4.1%,26
5,NE,19.6%,8,20.6%,5,8-2,13.8%,4,-0.1%,13,5.8%,4
6,KC,17.1%,10,20.0%,6,7-3,12.7%,7,0.4%,14,4.8%,7
7,SEA,15.1%,4,12.2%,7,6-4,13.1%,6,-5.3%,9,-3.3%,23
8,PHI,9.6%,5,9.8%,8,7-3,-3.4%,18,-5.6%,8,7.4%,2
9,DET,8.9%,9,8.6%,9,7-3,-7.5%,22,-22.3%,1,-5.9%,31
10,PIT,6.9%,11,6.9%,11,7-4,16.9%,3,8.8%,28,-1.2%,20
11,SF,6.8%,16,7.3%,10,6-4,-3.2%,17,-15.5%,4,-5.5%,29
12,BUF,6.8%,13,5.9%,13,5-5,-12.0%,27,-13.2%,5,5.5%,5
13,DAL,5.4%,14,6.0%,12,7-3,11.3%,8,4.4%,21,-1.4%,21
14,IND,5.1%,7,5.3%,14,6-4,6.6%,13,7.3%,26,5.8%,3
15,ARI,4.4%,15,4.6%,15,9-1,-7.8%,23,-12.1%,6,0.1%,15
16,NO,2.6%,12,3.2%,16,4-6,13.6%,5,11.4%,30,0.4%,14
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,CIN,0.3%,20,-2.9%,17,6-3-1,-1.0%,15,3.7%,20,4.9%,6
18,SD,-3.1%,18,-3.8%,18,6-4,8.3%,9,11.8%,31,0.4%,13
19,CLE,-3.6%,17,-4.6%,19,6-4,-2.2%,16,1.0%,16,-0.3%,17
20,ATL,-4.1%,19,-6.6%,20,4-6,7.9%,11,15.8%,32,3.7%,8
21,HOU,-9.1%,23,-7.9%,21,5-5,-3.9%,19,0.6%,15,-4.6%,28
22,NYJ,-11.2%,24,-10.7%,23,2-8,-13.5%,28,-0.1%,12,2.3%,9
23,CHI,-11.3%,26,-15.2%,26,4-6,3.1%,14,8.2%,27,-6.2%,32
24,STL,-11.7%,28,-9.6%,22,4-6,-9.4%,25,2.9%,18,0.6%,12
25,NYG,-13.9%,21,-13.9%,25,3-7,-8.8%,24,4.7%,22,-0.4%,18
26,MIN,-15.2%,25,-13.7%,24,4-6,-17.1%,29,-0.4%,11,1.5%,11
27,TEN,-16.0%,27,-15.7%,27,2-8,-6.0%,20,9.0%,29,-1.0%,19
28,WAS,-17.7%,22,-20.5%,28,3-7,-6.7%,21,5.5%,23,-5.5%,30
29,CAR,-19.7%,29,-21.8%,29,3-7-1,-10.9%,26,6.7%,25,-2.1%,22
30,OAK,-23.5%,30,-23.4%,30,0-10,-22.3%,31,3.0%,19,1.9%,10
31,JAC,-27.6%,31,-24.6%,31,1-9,-22.5%,32,1.3%,17,-3.8%,24
32,TB,-29.1%,32,-25.2%,32,2-8,-19.4%,30,5.9%,24,-3.9%,25
