,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,CIN,34.1%,1,32.1%,3,10-2,22.2%,1,-8.1%,8,3.8%,4
2,SEA,31.0%,5,37.8%,1,7-5,16.6%,5,-10.9%,7,3.5%,5
3,ARI,30.2%,6,25.5%,5,10-2,16.8%,4,-14.6%,3,-1.1%,19
4,KC,28.5%,3,34.5%,2,7-5,13.1%,6,-11.3%,5,4.2%,3
5,NE,26.0%,2,22.3%,6,10-2,19.8%,2,-2.8%,12,3.4%,6
6,CAR,23.2%,4,25.7%,4,12-0,5.2%,11,-21.6%,2,-3.6%,27
7,PIT,19.2%,9,22.0%,7,7-5,17.7%,3,-2.4%,13,-0.9%,18
8,DEN,18.2%,7,19.4%,8,10-2,-11.7%,26,-27.4%,1,2.4%,9
9,GB,10.7%,8,3.3%,13,8-4,8.2%,10,-2.8%,11,-0.3%,17
10,NYJ,8.3%,10,6.5%,9,7-5,-0.2%,14,-11.5%,4,-3.0%,24
11,BUF,6.2%,11,4.5%,11,6-6,11.8%,7,7.3%,26,1.6%,12
12,OAK,2.2%,12,4.6%,10,5-7,8.4%,9,4.8%,22,-1.5%,20
13,MIN,-2.5%,13,2.7%,14,8-4,-2.8%,17,2.8%,17,3.1%,8
14,TB,-3.9%,21,4.3%,12,6-6,-2.0%,15,-0.6%,14,-2.5%,23
15,BAL,-3.9%,14,-5.1%,19,4-8,-5.8%,22,4.5%,21,6.4%,2
16,DET,-4.8%,16,-0.5%,15,4-8,-6.1%,24,1.0%,16,2.3%,10
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,NYG,-5.0%,17,-6.2%,20,5-7,-4.6%,20,7.6%,27,7.2%,1
18,WAS,-5.2%,15,-2.7%,17,5-7,-5.3%,21,3.1%,19,3.2%,7
19,HOU,-5.2%,22,-1.5%,16,6-6,-3.0%,18,-3.1%,10,-5.3%,32
20,PHI,-6.9%,24,-7.6%,21,5-7,-12.0%,27,-4.2%,9,0.9%,15
21,CHI,-8.1%,19,-4.4%,18,5-7,2.3%,12,6.2%,24,-4.2%,30
22,STL,-9.8%,18,-14.5%,26,4-8,-22.7%,32,-11.1%,6,1.8%,11
23,ATL,-11.6%,23,-13.8%,24,6-6,-4.4%,19,5.0%,23,-2.2%,21
24,IND,-12.8%,20,-11.7%,22,6-6,-12.6%,28,0.5%,15,0.4%,16
25,JAC,-13.5%,25,-14.6%,27,4-8,-2.3%,16,8.2%,28,-3.0%,25
26,DAL,-15.3%,29,-14.2%,25,4-8,-13.7%,30,2.9%,18,1.3%,13
27,MIA,-15.4%,26,-13.8%,23,5-7,-5.8%,23,6.3%,25,-3.2%,26
28,NO,-18.2%,30,-18.1%,28,4-8,8.8%,8,24.8%,32,-2.3%,22
29,SD,-18.3%,27,-21.5%,29,3-9,1.6%,13,15.0%,31,-4.9%,31
30,TEN,-18.6%,28,-25.4%,31,3-9,-11.5%,25,3.2%,20,-3.9%,28
31,CLE,-24.7%,31,-24.5%,30,2-10,-13.5%,29,12.2%,30,1.0%,14
32,SF,-31.1%,32,-31.4%,32,4-8,-15.1%,31,11.9%,29,-4.0%,29
