,TEAM,TOTALDVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,46.8%,9,29.7%,1,2-0,41.3%,1,-9.2%,11,-3.7%,21
2,WAS,40.4%,22,3.3%,13,1-1,11.6%,9,-37.8%,1,-9.1%,28
3,BUF,33.8%,10,7.0%,11,2-0,12.3%,7,-4.7%,14,16.8%,1
4,CIN,33.1%,11,11.6%,5,2-0,22.6%,3,-14.9%,8,-4.4%,24
5,SEA,29.2%,1,19.7%,2,1-1,38.4%,2,7.0%,21,-2.2%,16
6,CAR,26.1%,6,7.7%,10,2-0,3.1%,15,-26.8%,2,-3.8%,23
7,DET,23.8%,3,0.7%,16,1-1,11.8%,8,-25.2%,3,-13.2%,31
8,ARI,23.6%,15,2.8%,14,2-0,-3.9%,22,-22.1%,5,5.5%,3
9,NE,21.5%,20,15.9%,3,1-1,-6.5%,24,-25.2%,4,2.9%,8
10,PHI,16.7%,14,7.8%,9,2-0,1.8%,16,-18.6%,6,-3.7%,22
11,CHI,14.4%,16,10.4%,6,1-1,10.8%,10,-8.7%,13,-5.1%,27
12,GB,10.2%,27,14.1%,4,1-1,10.7%,11,9.0%,23,8.5%,2
13,BAL,6.7%,21,-2.6%,18,1-1,1.1%,17,-10.7%,10,-5.1%,26
14,TEN,5.5%,4,-2.9%,20,1-1,-1.9%,20,-11.0%,9,-3.6%,20
15,SF,3.6%,5,8.8%,8,1-1,3.5%,13,0.6%,17,0.8%,12
16,ATL,1.9%,7,-2.5%,17,1-1,18.2%,6,20.7%,29,4.4%,6
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,CLE,1.6%,17,-9.7%,27,1-1,22.2%,5,23.9%,30,3.3%,7
18,HOU,0.1%,19,-6.8%,24,2-0,3.4%,14,-1.7%,16,-5.0%,25
19,DAL,-1.7%,30,-6.2%,22,1-1,1.0%,18,7.2%,22,4.5%,5
20,NO,-1.9%,23,8.9%,7,0-2,22.3%,4,28.8%,31,4.6%,4
21,NYJ,-2.6%,8,-2.9%,19,1-1,-4.9%,23,-2.0%,15,0.3%,13
22,PIT,-4.6%,12,1.3%,15,1-1,5.2%,12,11.7%,25,1.9%,10
23,MIA,-11.7%,13,-7.2%,25,1-1,-2.0%,21,-9.2%,12,-18.8%,32
24,MIN,-14.4%,2,-4.4%,21,1-1,-27.4%,30,-15.8%,7,-2.7%,17
25,SD,-14.9%,26,4.3%,12,1-1,-1.2%,19,15.9%,27,2.3%,9
26,TB,-22.9%,28,-6.3%,23,0-2,-16.1%,26,3.5%,18,-3.3%,19
27,OAK,-27.3%,25,-20.4%,31,0-2,-20.3%,28,5.1%,20,-1.9%,15
28,IND,-30.8%,24,-8.8%,26,0-2,-12.5%,25,19.8%,28,1.5%,11
29,STL,-42.1%,32,-12.4%,28,1-1,-26.4%,29,14.8%,26,-0.9%,14
30,KC,-49.4%,29,-17.8%,30,0-2,-16.6%,27,29.9%,32,-2.9%,18
31,NYG,-52.0%,31,-17.1%,29,0-2,-30.8%,31,9.8%,24,-11.4%,30
32,JAC,-53.1%,18,-23.6%,32,0-2,-38.8%,32,4.7%,19,-9.6%,29
