,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,SEA,38.6%,1,39.5%,1,12-3,9.1%,8,-24.7%,1,4.9%,5
2,DEN,32.7%,2,25.9%,4,12-3,31.7%,1,-2.0%,14,-1.1%,21
3,CAR,26.8%,3,27.5%,2,11-4,10.2%,7,-15.3%,3,1.3%,13
4,NE,18.7%,6,23.7%,5,11-4,16.4%,4,3.4%,19,5.8%,4
5,SF,18.3%,5,23.5%,6,11-4,8.4%,10,-6.1%,10,3.8%,7
6,KC,18.1%,4,18.3%,9,11-4,3.3%,15,-6.6%,9,8.2%,1
7,NO,16.8%,7,13.5%,11,10-5,13.1%,5,-6.1%,11,-2.3%,24
8,PHI,14.8%,11,27.2%,3,9-6,23.4%,2,5.4%,23,-3.3%,26
9,CIN,14.8%,8,18.6%,8,10-5,0.8%,17,-12.5%,5,1.5%,12
10,ARI,12.2%,10,18.8%,7,10-5,-3.3%,20,-17.8%,2,-2.4%,25
11,IND,4.6%,14,-2.8%,18,10-5,5.4%,12,0.7%,17,-0.1%,19
12,CHI,4.5%,9,-0.3%,17,8-7,12.2%,6,9.6%,26,1.9%,11
13,SD,4.3%,12,7.9%,12,8-7,22.1%,3,18.9%,32,1.1%,15
14,STL,3.0%,15,14.5%,10,7-8,-7.8%,23,-4.8%,12,6.0%,3
15,PIT,1.3%,13,6.8%,13,7-8,4.8%,13,4.3%,21,0.8%,16
16,DET,0.9%,16,2.0%,14,7-8,-0.4%,18,-1.3%,15,0.0%,18
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,TB,-2.1%,17,-0.2%,16,4-11,-10.7%,24,-10.7%,6,-2.1%,23
18,DAL,-2.3%,19,-8.6%,22,8-7,7.9%,11,14.2%,30,4.0%,6
19,MIA,-3.0%,18,0.0%,15,8-7,-0.8%,19,0.3%,16,-1.9%,22
20,BUF,-3.5%,23,-6.3%,21,6-9,-12.4%,25,-14.6%,4,-5.7%,29
21,GB,-3.8%,21,-10.3%,24,7-7-1,8.8%,9,13.0%,29,0.3%,17
22,TEN,-6.2%,22,-5.4%,20,6-9,1.5%,16,3.3%,18,-4.4%,27
23,BAL,-6.5%,20,-2.9%,19,8-7,-21.7%,31,-8.4%,8,6.8%,2
24,NYJ,-10.0%,26,-9.4%,23,7-8,-17.7%,27,-4.6%,13,3.1%,9
25,ATL,-10.9%,25,-17.0%,27,4-11,4.2%,14,14.9%,31,-0.3%,20
26,MIN,-14.1%,24,-14.0%,26,4-10-1,-5.9%,21,11.8%,27,3.6%,8
27,NYG,-17.7%,28,-11.5%,25,6-9,-20.8%,30,-8.6%,7,-5.5%,28
28,CLE,-21.4%,27,-23.2%,28,4-11,-13.7%,26,8.9%,25,1.2%,14
29,WAS,-25.3%,30,-23.9%,29,3-12,-7.2%,22,5.2%,22,-12.9%,32
30,HOU,-29.4%,29,-37.5%,32,2-13,-19.7%,29,3.9%,20,-5.8%,30
31,OAK,-33.2%,31,-34.0%,31,4-11,-17.9%,28,8.7%,24,-6.5%,31
32,JAC,-39.0%,32,-24.2%,30,4-11,-29.5%,32,11.8%,28,2.3%,10
