,TEAM,TOTALDVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,62.2%,2,43.4%,1,4-0,53.2%,1,3.0%,19,12.0%,1
2,SEA,43.1%,1,33.4%,2,4-0,6.6%,9,-28.0%,1,8.5%,2
3,KC,32.7%,3,10.6%,8,4-0,5.3%,11,-18.9%,3,8.5%,3
4,NO,31.7%,5,21.1%,3,4-0,15.4%,7,-15.5%,6,0.8%,15
5,IND,25.4%,4,11.0%,7,3-1,19.1%,4,-5.5%,13,0.8%,13
6,CAR,21.8%,7,18.6%,4,1-2,13.7%,8,-9.4%,10,-1.2%,20
7,NE,13.4%,11,18.6%,5,4-0,2.6%,15,-5.0%,14,5.8%,4
8,TEN,11.5%,17,-1.3%,17,3-1,4.4%,14,-9.4%,9,-2.3%,23
9,GB,11.2%,9,18.2%,6,1-2,30.7%,3,21.1%,31,1.6%,12
10,BUF,9.4%,19,-1.3%,18,2-2,-4.7%,21,-13.3%,7,0.8%,14
11,CHI,7.7%,6,4.0%,12,3-1,-0.6%,19,-8.9%,11,-0.6%,18
12,SD,6.6%,18,0.5%,16,2-2,33.1%,2,25.5%,32,-1.0%,19
13,DET,4.8%,16,1.7%,15,3-1,4.7%,12,-3.1%,15,-2.9%,25
14,ATL,4.4%,13,4.5%,10,1-3,17.7%,6,14.9%,26,1.6%,11
15,CIN,3.2%,10,4.4%,11,2-2,-1.5%,20,-1.7%,16,3.0%,10
16,DAL,2.3%,14,-1.6%,19,2-2,6.0%,10,4.3%,20,0.6%,16
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,HOU,1.6%,20,3.8%,13,2-2,-4.8%,22,-16.1%,5,-9.7%,30
18,SF,-1.2%,27,6.3%,9,2-2,0.6%,17,-1.2%,18,-3.0%,26
19,MIA,-1.4%,8,-4.6%,21,3-1,4.5%,13,10.5%,24,4.6%,7
20,NYJ,-1.5%,12,-3.8%,20,2-2,-24.3%,29,-17.9%,4,4.9%,6
21,MIN,-3.4%,24,-8.3%,26,1-3,-0.6%,18,6.7%,23,3.9%,8
22,TB,-6.4%,21,-5.9%,23,0-4,-24.6%,30,-19.6%,2,-1.4%,21
23,BAL,-6.8%,22,2.1%,14,2-2,-18.0%,26,-7.6%,12,3.6%,9
24,CLE,-12.1%,26,-11.0%,27,2-2,-18.3%,27,-10.3%,8,-4.1%,27
25,PIT,-14.6%,23,-7.9%,24,0-4,-5.9%,23,6.2%,21,-2.5%,24
26,PHI,-14.9%,15,-8.2%,25,1-3,18.7%,5,20.8%,30,-12.9%,31
27,ARI,-17.4%,28,-14.4%,28,2-2,-17.6%,25,-1.6%,17,-1.4%,22
28,WAS,-22.4%,30,-5.1%,22,1-3,0.8%,16,14.3%,25,-9.0%,29
29,OAK,-31.8%,29,-24.8%,29,1-3,-9.1%,24,17.1%,28,-5.7%,28
30,STL,-35.5%,25,-27.1%,31,1-3,-20.9%,28,19.7%,29,5.0%,5
31,NYG,-48.7%,31,-25.5%,30,0-4,-24.7%,31,6.6%,22,-17.3%,32
32,JAC,-83.8%,32,-55.8%,32,0-4,-67.1%,32,16.3%,27,-0.5%,17
