,TEAM,TOTALDVOA,LASTWEEK,TOTALDAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,38.7%,1,34.6%,1,4-1,21.5%,1,-16.5%,2,0.7%,18
2,BAL,28.2%,4,22.0%,4,4-2,18.2%,4,-7.0%,9,2.9%,8
3,SEA,26.8%,2,23.9%,2,3-2,12.1%,9,-9.3%,5,5.4%,4
4,GB,23.8%,3,22.4%,3,4-2,18.6%,3,-3.1%,13,2.2%,10
5,CIN,18.0%,5,14.0%,5,3-1-1,14.3%,5,-2.6%,14,1.1%,17
6,PHI,13.9%,13,12.2%,7,5-1,-4.0%,20,-6.4%,11,11.5%,1
7,DET,13.0%,9,9.1%,9,4-2,-5.7%,22,-28.6%,1,-9.9%,32
8,SD,12.9%,7,12.8%,6,5-1,14.1%,6,2.6%,20,1.3%,14
9,CLE,11.7%,18,5.1%,15,3-2,20.7%,2,10.4%,29,1.3%,16
10,DAL,11.6%,12,8.1%,10,5-1,13.2%,8,0.1%,16,-1.5%,20
11,NE,9.4%,10,10.2%,8,4-2,-1.3%,19,-6.9%,10,3.8%,7
12,ATL,7.5%,6,5.4%,13,2-4,14.1%,7,16.0%,31,9.4%,2
13,IND,6.6%,17,5.5%,12,4-2,6.0%,12,3.9%,21,4.5%,5
14,KC,6.0%,14,3.2%,16,2-3,5.1%,13,0.5%,18,1.4%,13
15,SF,5.8%,16,6.6%,11,4-2,-0.5%,18,-11.8%,3,-5.5%,27
16,CHI,4.7%,19,5.4%,14,3-3,3.9%,14,-7.1%,8,-6.3%,28
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,MIA,1.1%,21,-0.6%,18,2-3,-0.1%,16,-10.0%,4,-8.8%,31
18,BUF,0.2%,15,-0.6%,17,3-3,-14.7%,27,-8.0%,7,6.9%,3
19,ARI,-0.2%,20,-1.6%,20,4-1,-11.9%,26,-8.9%,6,2.8%,9
20,PIT,-1.5%,11,-0.7%,19,3-3,3.1%,15,6.0%,23,1.3%,15
21,NYG,-2.9%,8,-2.9%,21,3-3,-4.6%,21,-4.1%,12,-2.4%,22
22,CAR,-4.4%,22,-3.7%,22,3-2-1,7.3%,11,10.0%,28,-1.6%,21
23,WAS,-8.8%,23,-9.4%,24,1-5,-0.2%,17,0.3%,17,-8.3%,30
24,HOU,-9.9%,24,-9.8%,25,3-3,-6.3%,23,-0.3%,15,-3.9%,25
25,NO,-10.9%,25,-4.8%,23,2-3,11.6%,10,22.6%,32,0.0%,19
26,TEN,-19.9%,26,-17.6%,27,2-4,-7.9%,24,7.3%,24,-4.6%,26
27,STL,-20.5%,28,-15.2%,26,1-4,-8.3%,25,8.8%,25,-3.3%,24
28,NYJ,-21.0%,27,-17.7%,28,1-5,-24.4%,29,0.6%,19,4.0%,6
29,OAK,-25.8%,30,-23.6%,29,0-5,-17.6%,28,10.0%,27,1.8%,12
30,MIN,-31.5%,29,-25.9%,30,2-4,-28.1%,31,5.3%,22,1.9%,11
31,JAC,-41.1%,32,-35.7%,31,0-6,-28.8%,32,9.3%,26,-3.0%,23
32,TB,-47.4%,31,-38.8%,32,1-5,-24.6%,30,15.2%,30,-7.7%,29
