,TEAM,TOTALDVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,46.6%,1,41.4%,1,6-0,46.7%,1,8.9%,23,8.8%,1
2,SEA,34.3%,2,31.6%,2,5-1,9.4%,10,-20.6%,2,4.2%,6
3,KC,25.6%,3,17.5%,5,6-0,-4.2%,18,-23.1%,1,6.8%,3
4,NO,19.5%,5,17.6%,4,5-1,15.5%,6,-2.1%,14,1.9%,14
5,IND,19.5%,4,14.8%,7,4-2,18.3%,5,0.5%,18,1.8%,15
6,CHI,17.4%,7,13.9%,8,4-2,12.6%,9,-4.2%,13,0.6%,19
7,GB,17.3%,6,19.1%,3,3-2,23.4%,3,9.4%,25,3.3%,10
8,CAR,16.4%,10,16.6%,6,2-3,3.6%,13,-13.8%,3,-1.0%,22
9,CIN,14.7%,9,13.1%,10,4-2,0.4%,15,-11.1%,6,3.2%,11
10,SF,12.2%,8,13.2%,9,4-2,3.9%,12,-7.4%,10,0.9%,17
11,DAL,11.9%,13,8.8%,12,3-3,13.0%,8,7.5%,21,6.5%,4
12,DET,9.1%,14,7.1%,13,4-2,8.3%,11,0.1%,17,0.8%,18
13,NE,8.8%,12,11.3%,11,5-1,-4.3%,20,-5.9%,12,7.2%,2
14,BUF,4.2%,11,0.3%,15,2-4,-0.5%,16,-7.5%,9,-2.9%,27
15,PHI,0.7%,21,0.4%,14,3-3,24.7%,2,16.0%,30,-7.9%,29
16,SD,0.3%,19,-0.9%,16,3-3,21.5%,4,20.0%,32,-1.1%,24
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,ARI,-2.0%,24,-3.5%,20,3-3,-12.7%,24,-10.6%,7,0.1%,21
18,NYJ,-2.7%,15,-3.3%,18,3-3,-19.3%,30,-11.4%,4,5.2%,5
19,ATL,-3.6%,20,-2.3%,17,1-4,14.4%,7,18.4%,31,0.3%,20
20,TEN,-6.2%,16,-8.2%,23,3-3,-4.3%,19,-5.9%,11,-7.8%,28
21,PIT,-6.2%,26,-4.3%,21,1-4,-2.7%,17,1.9%,19,-1.6%,25
22,TB,-6.7%,22,-6.3%,22,0-5,-19.2%,29,-11.3%,5,1.2%,16
23,BAL,-7.4%,18,-3.3%,19,3-3,-19.9%,31,-9.0%,8,3.5%,9
24,CLE,-10.9%,23,-10.2%,24,3-3,-14.8%,26,-1.6%,16,2.4%,12
25,MIA,-12.4%,25,-12.0%,25,3-2,-4.4%,21,10.3%,28,2.2%,13
26,STL,-15.1%,30,-15.6%,27,3-3,-10.5%,23,8.4%,22,3.9%,7
27,MIN,-15.3%,17,-14.9%,26,1-4,-9.0%,22,9.8%,27,3.5%,8
28,OAK,-21.3%,29,-20.3%,29,2-4,-14.2%,25,5.3%,20,-1.9%,26
29,HOU,-26.6%,27,-20.7%,30,2-4,-17.9%,27,-2.1%,15,-10.8%,31
30,WAS,-26.9%,28,-18.4%,28,1-4,0.5%,14,9.8%,26,-17.6%,32
31,NYG,-37.0%,31,-29.5%,31,0-6,-18.3%,28,9.3%,24,-9.4%,30
32,JAC,-66.0%,32,-57.4%,32,0-6,-51.3%,32,13.7%,29,-1.0%,23
