,TEAM,TOTALVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEVOA,OFF.RANK,DEFENSEVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,72.1%,2,33.0%,1,2-0,47.1%,2,-13.6%,7,11.4%,1
2,SEA,47.9%,9,27.9%,2,2-0,5.8%,13,-32.6%,2,9.5%,2
3,KC,44.3%,1,-1.4%,17,2-0,7.9%,12,-37.5%,1,-1.1%,18
4,GB,30.8%,16,25.5%,3,1-1,63.7%,1,31.8%,31,-1.1%,17
5,MIA,30.0%,3,0.9%,15,2-0,11.7%,9,-12.1%,9,6.2%,6
6,PHI,23.1%,8,4.4%,11,1-1,37.8%,3,21.9%,29,7.1%,5
7,CHI,22.4%,5,5.0%,9,2-0,13.6%,7,-7.1%,12,1.8%,13
8,BUF,21.9%,7,-5.6%,21,1-1,9.4%,10,-11.1%,10,1.5%,14
9,IND,14.8%,6,-1.5%,18,1-1,26.3%,4,9.7%,24,-1.7%,21
10,CIN,11.8%,18,7.1%,7,1-1,8.9%,11,-0.9%,15,2.0%,12
11,NE,10.9%,21,21.2%,4,2-0,-17.8%,27,-24.6%,4,4.2%,8
12,NO,7.9%,15,7.9%,6,2-0,-3.3%,19,-12.3%,8,-1.2%,19
13,ATL,6.9%,20,5.0%,10,1-1,12.4%,8,11.3%,26,5.8%,7
14,STL,3.7%,10,-11.9%,26,1-1,5.0%,14,9.4%,23,8.2%,4
15,TEN,3.2%,4,-12.1%,27,1-1,-17.2%,26,-20.0%,6,0.4%,16
16,HOU,1.5%,11,5.0%,8,2-0,4.8%,15,-9.4%,11,-12.7%,31
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,DET,-2.8%,13,-2.5%,19,1-1,4.7%,16,-5.1%,14,-12.6%,30
18,SD,-4.5%,23,-6.5%,22,1-1,24.8%,5,29.8%,30,0.4%,15
19,TB,-7.4%,17,1.5%,14,0-2,-34.0%,29,-23.4%,5,3.2%,11
20,CAR,-8.6%,19,9.6%,5,0-2,1.5%,17,6.7%,21,-3.5%,22
21,DAL,-8.7%,22,-7.1%,23,1-1,-14.9%,25,2.2%,17,8.4%,3
22,NYJ,-9.3%,14,-7.5%,24,1-1,-39.4%,31,-26.2%,3,3.9%,9
23,OAK,-13.4%,26,-15.7%,29,1-1,-0.8%,18,2.4%,19,-10.1%,29
24,ARI,-16.6%,25,-12.4%,28,1-1,-9.7%,21,2.3%,18,-4.6%,24
25,PIT,-19.1%,28,-4.7%,20,0-2,-21.3%,28,1.5%,16,3.7%,10
26,MIN,-24.0%,27,-16.9%,31,0-2,-13.5%,23,9.1%,22,-1.4%,20
27,BAL,-29.3%,31,2.1%,13,1-1,-8.5%,20,12.7%,27,-8.2%,27
28,SF,-32.2%,12,3.3%,12,1-1,-10.4%,22,13.8%,28,-8.0%,26
29,CLE,-37.8%,30,-16.9%,30,0-2,-37.0%,30,-6.8%,13,-7.5%,25
30,NYG,-39.5%,24,-7.9%,25,0-2,-14.4%,24,9.9%,25,-15.2%,32
31,WAS,-45.5%,29,0.4%,16,0-2,15.7%,6,51.3%,32,-9.8%,28
32,JAC,-74.5%,32,-35.0%,32,0-2,-67.6%,32,2.8%,20,-4.0%,23
