,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,35.0%,1,32.6%,1,10-3,24.8%,2,-13.9%,3,-3.7%,26
2,NE,26.3%,2,31.0%,2,10-3,15.2%,4,-5.1%,10,6.0%,3
3,SEA,25.6%,5,24.7%,5,9-4,15.1%,5,-12.3%,4,-1.8%,19
4,GB,24.7%,3,24.9%,4,10-3,27.3%,1,1.9%,18,-0.6%,18
5,BAL,24.0%,4,25.9%,3,8-5,13.1%,7,-2.7%,12,8.2%,2
6,MIA,14.1%,6,15.4%,7,7-6,9.9%,10,-7.2%,8,-3.1%,23
7,PHI,13.7%,7,15.4%,8,9-4,-2.6%,16,-7.2%,7,9.0%,1
8,KC,12.4%,8,18.2%,6,7-6,8.6%,12,1.1%,16,4.8%,6
9,DET,9.8%,11,9.4%,12,9-4,-3.9%,18,-18.3%,1,-4.6%,30
10,BUF,9.4%,9,9.6%,11,7-6,-10.4%,25,-14.9%,2,4.9%,5
11,IND,8.3%,10,9.9%,10,9-4,3.1%,13,-0.5%,14,4.7%,7
12,PIT,7.2%,13,10.4%,9,8-5,20.2%,3,12.6%,30,-0.4%,16
13,DAL,3.6%,15,3.9%,14,9-4,13.3%,6,10.2%,28,0.6%,13
14,SF,2.0%,12,0.9%,15,7-6,-5.7%,19,-12.1%,5,-4.3%,28
15,SD,1.6%,16,0.6%,17,8-5,9.5%,11,6.0%,25,-1.8%,20
16,CIN,0.5%,17,-5.4%,20,8-4-1,-1.4%,15,3.0%,23,5.0%,4
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,STL,-0.1%,20,8.7%,13,6-7,-9.1%,23,-5.6%,9,3.3%,9
18,NO,-1.4%,14,0.7%,16,5-8,11.8%,8,14.5%,31,1.3%,11
19,ATL,-1.6%,19,-1.5%,18,5-8,10.6%,9,16.2%,32,4.0%,8
20,ARI,-2.6%,18,-3.4%,19,10-3,-9.5%,24,-10.4%,6,-3.5%,25
21,CLE,-3.5%,21,-5.8%,21,7-6,-7.2%,20,-3.4%,11,0.4%,14
22,HOU,-7.7%,22,-5.9%,22,7-6,-3.3%,17,0.4%,15,-3.9%,27
23,MIN,-9.9%,24,-7.2%,23,6-7,-11.1%,26,1.4%,17,2.6%,10
24,NYG,-10.6%,25,-9.2%,24,4-9,-8.0%,22,2.9%,22,0.3%,15
25,CHI,-11.1%,23,-17.0%,25,5-8,3.0%,14,9.7%,27,-4.4%,29
26,CAR,-16.9%,28,-21.6%,28,4-8-1,-7.8%,21,2.6%,19,-6.5%,31
27,NYJ,-18.3%,26,-19.4%,26,2-11,-14.8%,28,2.9%,21,-0.6%,17
28,OAK,-22.1%,30,-20.2%,27,2-11,-18.8%,29,4.2%,24,0.9%,12
29,WAS,-27.8%,27,-36.4%,31,3-10,-12.3%,27,8.2%,26,-7.4%,32
30,JAC,-30.1%,32,-24.1%,29,2-11,-27.7%,32,-0.7%,13,-3.1%,24
31,TB,-30.8%,31,-28.8%,30,2-11,-25.1%,31,2.8%,20,-2.9%,21
32,TEN,-33.3%,29,-39.5%,32,2-11,-19.1%,30,11.1%,29,-3.0%,22
