,TEAM,TOTALDVOA,LASTWEEK,TOTALDAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,ARI,85.2%,3,17.8%,2,2-0,59.3%,1,-13.6%,8,12.4%,2
2,NYJ,43.3%,5,11.0%,8,2-0,4.8%,10,-39.1%,2,-0.6%,19
3,PIT,40.3%,21,15.9%,4,1-1,55.4%,2,10.0%,24,-5.2%,23
4,CIN,39.9%,4,14.8%,6,2-0,30.0%,5,-13.0%,9,-3.2%,20
5,GB,35.8%,6,15.5%,5,2-0,35.9%,3,6.8%,22,6.7%,8
6,NE,35.6%,9,23.1%,1,2-0,35.2%,4,6.7%,21,7.1%,7
7,DEN,26.3%,12,17.8%,3,2-0,-32.2%,31,-48.1%,1,10.3%,4
8,CAR,23.9%,13,3.4%,12,2-0,-5.7%,18,-37.9%,3,-8.3%,25
9,TEN,17.6%,1,-6.3%,23,1-1,5.3%,9,-26.9%,4,-14.6%,32
10,ATL,13.4%,15,5.6%,11,2-0,13.8%,6,0.6%,13,0.2%,16
11,DAL,8.9%,16,-3.6%,21,2-0,-8.3%,21,-16.9%,5,0.4%,15
12,KC,6.3%,8,5.7%,10,1-1,-11.5%,24,-14.0%,7,3.8%,12
13,WAS,6.1%,22,-13.2%,29,1-1,1.3%,13,-14.7%,6,-10.0%,29
14,BUF,5.3%,2,-2.8%,19,1-1,12.2%,7,14.4%,27,7.4%,6
15,MIA,4.6%,14,-1.6%,17,1-1,3.8%,11,0.7%,14,1.4%,14
16,STL,-1.1%,11,5.7%,9,1-1,-8.5%,22,-4.5%,11,2.8%,13
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,BAL,-1.8%,18,3.2%,14,0-2,-6.1%,20,1.6%,16,5.9%,9
18,NYG,-3.4%,17,-3.3%,20,0-2,-3.2%,15,12.4%,25,12.1%,3
19,SD,-4.7%,10,3.4%,13,1-1,10.6%,8,6.1%,18,-9.2%,26
20,JAC,-5.7%,23,-13.6%,30,1-1,-9.6%,23,-8.5%,10,-4.6%,21
21,CLE,-6.3%,28,-9.0%,24,1-1,-20.8%,30,1.1%,15,15.6%,1
22,DET,-13.3%,20,-0.3%,15,0-2,-4.1%,16,8.8%,23,-0.4%,17
23,SEA,-18.0%,24,13.0%,7,0-2,-5.6%,17,16.6%,28,4.3%,11
24,MIN,-18.9%,30,-1.2%,16,1-1,-5.7%,19,12.6%,26,-0.6%,18
25,OAK,-21.2%,31,-12.9%,27,1-1,2.2%,12,28.3%,31,4.9%,10
26,PHI,-24.4%,19,-2.7%,18,0-2,-16.6%,26,-1.8%,12,-9.5%,28
27,SF,-33.6%,7,-11.0%,25,1-1,0.3%,14,26.3%,30,-7.6%,24
28,HOU,-34.7%,25,-12.6%,26,0-2,-19.0%,29,6.4%,19,-9.3%,27
29,IND,-35.2%,27,-4.7%,22,0-2,-17.4%,27,6.6%,20,-11.2%,31
30,TB,-42.1%,32,-21.7%,31,1-1,-46.2%,32,3.5%,17,7.6%,5
31,NO,-53.0%,29,-12.9%,28,0-2,-17.5%,28,24.7%,29,-10.8%,30
32,CHI,-69.0%,26,-23.1%,32,0-2,-15.9%,25,48.1%,32,-5.0%,22
