,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,36.8%,1,35.4%,1,9-1,35.1%,1,1.8%,17,3.5%,9
2,SEA,36.2%,2,34.4%,2,10-1,11.2%,7,-17.3%,2,7.7%,1
3,CAR,26.2%,3,26.5%,3,7-3,10.4%,8,-14.5%,4,1.2%,15
4,NO,25.4%,4,26.2%,4,8-2,20.1%,3,-6.8%,10,-1.6%,22
5,CHI,18.3%,5,18.5%,5,6-4,11.6%,6,-3.3%,13,3.5%,10
6,NE,17.3%,7,18.4%,6,7-3,8.7%,11,-2.1%,14,6.5%,3
7,CIN,14.9%,9,15.0%,7,7-4,-4.8%,21,-15.4%,3,4.3%,8
8,SF,11.6%,6,14.5%,8,6-4,3.7%,14,-6.0%,11,1.9%,13
9,KC,11.3%,8,9.9%,10,9-1,-3.2%,18,-9.1%,6,5.4%,6
10,PHI,9.5%,15,10.7%,9,6-5,19.3%,5,8.4%,26,-1.3%,21
11,DAL,7.0%,11,6.5%,11,5-5,6.7%,12,7.0%,25,7.2%,2
12,GB,5.5%,13,4.1%,13,5-5,19.4%,4,12.1%,29,-1.8%,25
13,IND,4.4%,14,2.3%,15,7-3,9.9%,10,6.6%,24,1.0%,16
14,ARI,4.1%,12,6.0%,12,6-4,-11.7%,25,-17.6%,1,-1.8%,24
15,DET,3.2%,10,3.8%,14,6-4,10.3%,9,5.4%,22,-1.7%,23
16,SD,-0.7%,17,-0.8%,17,4-6,21.0%,2,22.0%,32,0.2%,18
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,TB,-0.7%,20,-0.5%,16,2-8,-4.1%,19,-3.4%,12,0.0%,19
18,PIT,-2.0%,21,-1.8%,18,4-6,2.4%,15,6.3%,23,1.9%,14
19,BUF,-3.0%,25,-3.9%,20,4-7,-7.4%,22,-8.9%,7,-4.6%,27
20,STL,-4.6%,16,-2.6%,19,4-6,-11.0%,24,-0.9%,16,5.6%,5
21,MIA,-5.2%,18,-6.0%,21,5-5,-4.2%,20,-0.9%,15,-1.8%,26
22,BAL,-8.0%,23,-8.0%,22,4-6,-18.8%,29,-8.8%,8,2.0%,12
23,TEN,-9.1%,27,-8.4%,23,4-6,-0.1%,17,2.1%,18,-6.8%,29
24,NYJ,-10.3%,19,-12.4%,24,5-5,-25.9%,31,-10.0%,5,5.6%,4
25,ATL,-12.0%,22,-15.0%,28,2-8,4.1%,13,14.9%,30,-1.2%,20
26,MIN,-14.3%,24,-13.9%,26,2-8,-9.3%,23,9.8%,28,4.8%,7
27,NYG,-15.5%,28,-12.8%,25,4-6,-13.7%,27,-8.1%,9,-9.9%,31
28,CLE,-15.7%,26,-13.9%,27,4-6,-14.5%,28,2.2%,19,1.0%,17
29,WAS,-21.4%,30,-20.3%,29,3-7,0.2%,16,8.8%,27,-12.8%,32
30,HOU,-23.9%,29,-24.9%,30,2-8,-12.8%,26,2.8%,20,-8.3%,30
31,OAK,-32.4%,31,-31.8%,31,4-6,-20.9%,30,4.8%,21,-6.6%,28
32,JAC,-57.1%,32,-54.5%,32,1-9,-41.5%,32,19.0%,31,3.4%,11
