,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,33.2%,1,30.0%,2,11-3,23.4%,2,-13.6%,3,-3.7%,26
2,NE,27.2%,2,35.1%,1,11-3,16.6%,4,-5.3%,9,5.3%,5
3,SEA,25.4%,3,23.1%,4,10-4,14.8%,6,-11.9%,4,-1.3%,18
4,BAL,25.1%,5,28.6%,3,9-5,14.6%,7,-3.0%,12,7.5%,2
5,GB,21.7%,4,22.2%,5,10-4,24.5%,1,0.7%,17,-2.1%,21
6,KC,13.2%,8,19.9%,6,8-6,8.2%,11,1.4%,18,6.3%,4
7,PHI,12.3%,7,14.9%,7,9-5,-2.2%,16,-5.4%,8,9.0%,1
8,BUF,11.5%,10,14.0%,8,8-6,-11.9%,26,-16.6%,1,6.8%,3
9,PIT,9.0%,12,10.4%,9,9-5,22.3%,3,13.1%,31,-0.2%,15
10,IND,9.0%,11,8.9%,11,10-4,2.7%,13,-2.1%,13,4.1%,7
11,MIA,8.3%,6,7.0%,13,7-7,7.0%,12,-4.9%,10,-3.6%,25
12,DET,6.9%,9,4.3%,14,10-4,-3.9%,17,-15.6%,2,-4.8%,30
13,DAL,6.7%,13,8.9%,10,10-4,14.9%,5,9.2%,26,1.0%,11
14,SD,3.9%,15,3.6%,16,8-6,10.0%,10,4.4%,23,-1.7%,19
15,CIN,3.7%,16,-1.9%,19,9-4-1,-1.7%,15,-0.2%,15,5.2%,6
16,SF,2.3%,14,1.1%,17,7-7,-5.2%,19,-11.6%,5,-4.1%,29
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,NO,2.2%,18,3.8%,15,6-8,14.3%,8,12.7%,30,0.6%,13
18,ARI,-1.1%,20,-1.5%,18,11-3,-10.1%,23,-11.5%,6,-2.5%,23
19,STL,-1.5%,17,7.2%,12,6-8,-10.6%,24,-6.2%,7,2.9%,9
20,ATL,-2.6%,19,-6.7%,23,5-9,11.3%,9,17.4%,32,3.4%,8
21,HOU,-7.3%,22,-3.7%,20,7-7,-4.3%,18,-0.8%,14,-3.8%,27
22,CLE,-7.4%,21,-11.3%,24,7-7,-10.6%,25,-3.2%,11,0.0%,14
23,NYG,-7.4%,24,-5.3%,21,5-9,-6.3%,20,1.9%,20,0.7%,12
24,MIN,-9.3%,23,-5.7%,22,6-8,-8.8%,22,2.2%,21,1.7%,10
25,CHI,-13.9%,25,-22.9%,27,5-9,1.1%,14,11.7%,29,-3.3%,24
26,CAR,-14.5%,26,-16.7%,25,5-8-1,-7.1%,21,1.7%,19,-5.7%,31
27,NYJ,-20.2%,27,-22.3%,26,3-11,-14.4%,28,4.7%,24,-1.2%,17
28,OAK,-27.1%,28,-28.2%,30,2-12,-20.6%,30,5.4%,25,-1.0%,16
29,WAS,-27.5%,29,-36.4%,32,3-11,-12.2%,27,9.3%,27,-6.0%,32
30,TEN,-30.1%,32,-35.9%,31,2-12,-17.1%,29,11.0%,28,-2.0%,20
31,JAC,-30.5%,30,-26.1%,29,2-12,-26.3%,32,0.1%,16,-4.0%,28
32,TB,-31.1%,31,-24.6%,28,2-12,-25.0%,31,3.7%,22,-2.3%,22
