,TEAM,TOTALDVOA,LASTWEEK,TOTALDAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,NE,55.9%,1,41.3%,1,4-0,38.1%,1,-8.7%,9,9.1%,3
2,ARI,51.5%,2,36.2%,2,4-1,25.2%,3,-22.2%,3,4.1%,6
3,GB,41.2%,3,32.5%,3,5-0,20.1%,5,-19.3%,4,1.8%,13
4,CIN,32.3%,4,25.1%,4,5-0,30.2%,2,-1.5%,14,0.6%,15
5,PIT,18.5%,6,14.6%,6,3-2,20.7%,4,-0.2%,15,-2.4%,24
6,NYJ,15.6%,9,9.3%,10,3-1,-4.2%,20,-26.7%,2,-6.9%,30
7,BUF,15.4%,8,9.5%,9,3-2,7.9%,8,-7.3%,10,0.2%,16
8,NYG,15.3%,11,10.4%,8,3-2,9.8%,7,-1.6%,13,3.8%,7
9,SEA,11.7%,12,15.3%,5,2-3,-1.0%,14,-1.7%,12,10.9%,1
10,DEN,11.1%,7,12.2%,7,5-0,-26.7%,32,-31.9%,1,5.9%,4
11,CAR,10.0%,10,4.7%,13,4-0,0.6%,11,-19.2%,5,-9.7%,31
12,PHI,8.8%,17,7.7%,11,2-3,-5.0%,22,-12.8%,7,1.0%,14
13,ATL,8.7%,5,7.2%,12,5-0,13.1%,6,2.8%,17,-1.6%,22
14,TEN,3.7%,15,-4.1%,18,1-3,-2.0%,16,-12.6%,8,-6.9%,29
15,WAS,2.7%,18,-3.0%,16,2-3,-2.5%,17,-5.4%,11,-0.2%,18
16,BAL,0.3%,14,1.8%,14,1-4,-0.9%,13,4.6%,19,5.8%,5
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,OAK,-1.0%,16,-3.0%,17,2-3,-1.2%,15,3.2%,18,3.5%,8
18,STL,-3.3%,13,-0.5%,15,2-3,-19.1%,30,-13.9%,6,1.9%,12
19,CLE,-7.6%,24,-8.0%,22,2-3,-3.3%,19,14.1%,27,9.8%,2
20,SD,-8.6%,23,-4.8%,20,2-3,4.1%,10,6.8%,22,-6.0%,26
21,MIN,-10.8%,20,-4.2%,19,2-2,-4.3%,21,5.9%,20,-0.6%,20
22,IND,-11.1%,21,-6.6%,21,3-2,-5.5%,23,7.6%,23,2.0%,11
23,KC,-13.7%,27,-8.7%,23,1-4,-0.5%,12,16.0%,29,2.7%,9
24,DAL,-13.8%,19,-10.6%,24,2-3,-6.0%,24,6.2%,21,-1.7%,23
25,JAC,-17.2%,26,-17.0%,26,1-4,-2.7%,18,8.2%,24,-6.3%,27
26,NO,-18.4%,25,-12.9%,25,1-4,4.3%,9,21.8%,32,-0.8%,21
27,TB,-23.4%,29,-20.6%,29,2-3,-21.8%,31,1.1%,16,-0.5%,19
28,DET,-26.9%,22,-18.7%,27,0-5,-14.8%,28,12.0%,25,-0.2%,17
29,MIA,-28.5%,28,-18.9%,28,1-3,-13.3%,26,17.9%,30,2.6%,10
30,CHI,-30.7%,31,-24.3%,30,2-3,-9.3%,25,14.7%,28,-6.7%,28
31,HOU,-36.7%,30,-28.2%,31,1-4,-14.1%,27,12.2%,26,-10.4%,32
32,SF,-40.8%,32,-31.3%,32,1-4,-15.4%,29,21.0%,31,-4.3%,25
