,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,35.6%,1,35.0%,1,8-3,26.1%,1,-14.3%,4,-4.9%,29
2,NE,25.7%,5,29.7%,2,9-2,17.1%,4,-1.7%,10,6.9%,3
3,GB,24.5%,2,25.4%,3,8-3,24.6%,2,-0.1%,12,-0.2%,15
4,BAL,22.4%,3,23.2%,4,7-4,10.1%,10,-4.3%,9,8.0%,2
5,MIA,19.1%,4,21.3%,5,6-5,12.3%,7,-10.6%,6,-3.8%,24
6,SEA,18.5%,7,16.0%,6,7-4,12.0%,8,-8.2%,7,-1.8%,20
7,KC,14.2%,6,14.2%,7,7-4,10.3%,9,2.0%,18,5.8%,4
8,PHI,12.4%,8,13.3%,8,8-3,-2.2%,16,-5.3%,8,9.4%,1
9,BUF,9.3%,12,9.6%,9,6-5,-11.1%,26,-14.9%,3,5.4%,6
10,DAL,8.5%,13,8.9%,10,8-3,14.5%,5,6.1%,25,0.1%,13
11,SF,7.6%,11,8.2%,11,7-4,-3.9%,18,-16.6%,2,-5.0%,30
12,IND,6.9%,14,6.8%,13,7-4,3.1%,13,2.0%,17,5.8%,5
13,PIT,6.8%,10,7.4%,12,7-4,17.8%,3,9.7%,29,-1.3%,19
14,DET,4.6%,9,3.7%,14,7-4,-10.0%,24,-20.5%,1,-5.9%,32
15,CIN,3.5%,17,0.8%,17,7-3-1,-0.4%,15,1.3%,16,5.2%,7
16,SD,1.3%,18,0.2%,18,7-4,9.6%,11,7.9%,27,-0.4%,17
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,ARI,1.2%,15,1.0%,16,9-2,-9.6%,23,-12.6%,5,-1.8%,21
18,NO,0.9%,16,2.0%,15,4-7,14.1%,6,14.1%,31,0.8%,12
19,CLE,-3.7%,19,-4.5%,19,7-4,-3.3%,17,0.3%,13,-0.1%,14
20,ATL,-6.5%,20,-9.0%,20,4-7,6.7%,12,16.5%,32,3.3%,8
21,HOU,-9.7%,21,-9.2%,21,5-6,-4.8%,19,0.6%,15,-4.3%,27
22,CHI,-9.8%,23,-12.7%,22,5-6,0.0%,14,4.2%,23,-5.6%,31
23,MIN,-13.8%,26,-13.2%,24,4-7,-13.7%,28,2.6%,20,2.5%,9
24,STL,-15.1%,24,-13.1%,23,4-7,-12.3%,27,4.1%,22,1.4%,10
25,NYG,-15.8%,25,-18.1%,26,3-8,-6.7%,20,8.2%,28,-0.9%,18
26,OAK,-17.9%,30,-17.1%,25,1-10,-18.2%,30,0.6%,14,0.9%,11
27,WAS,-18.0%,28,-19.6%,27,3-8,-8.4%,21,5.2%,24,-4.4%,28
28,NYJ,-19.3%,22,-19.9%,28,2-9,-16.6%,29,2.5%,19,-0.2%,16
29,CAR,-19.7%,29,-20.3%,29,3-7-1,-10.1%,25,7.3%,26,-2.2%,22
30,TEN,-21.8%,27,-21.2%,30,2-9,-8.9%,22,9.9%,30,-3.1%,23
31,JAC,-30.4%,31,-27.7%,31,1-10,-27.1%,32,-0.8%,11,-4.1%,26
32,TB,-31.3%,32,-28.5%,32,2-9,-23.7%,31,3.6%,21,-3.9%,25
