,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,34.6%,1,33.0%,1,9-3,23.8%,2,-15.3%,4,-4.5%,27
2,NE,25.3%,2,31.1%,2,9-3,18.7%,3,-0.8%,12,5.8%,3
3,GB,23.9%,3,25.2%,3,9-3,25.4%,1,0.5%,16,-1.0%,19
4,BAL,21.6%,4,24.4%,4,7-5,10.7%,9,-2.2%,9,8.6%,2
5,SEA,21.4%,6,16.4%,7,8-4,12.6%,7,-9.7%,6,-0.9%,18
6,MIA,16.4%,5,16.2%,8,7-5,10.6%,10,-9.6%,7,-3.8%,25
7,PHI,16.0%,8,20.0%,5,9-3,-1.4%,15,-8.6%,8,8.8%,1
8,KC,13.8%,7,18.0%,6,7-5,8.3%,11,0.1%,14,5.6%,6
9,BUF,9.4%,9,10.6%,9,7-5,-12.4%,27,-16.0%,3,5.8%,4
10,IND,9.1%,12,9.1%,11,8-4,4.6%,13,1.2%,19,5.7%,5
11,DET,7.2%,14,5.8%,13,8-4,-6.0%,20,-18.9%,1,-5.7%,31
12,SF,6.8%,11,4.9%,15,7-5,-4.7%,18,-16.5%,2,-5.0%,30
13,PIT,5.6%,13,5.6%,14,7-5,17.6%,4,11.5%,29,-0.4%,14
14,NO,5.3%,18,9.8%,10,5-7,17.1%,5,12.9%,31,1.2%,11
15,DAL,4.0%,10,5.9%,12,8-4,11.1%,8,7.1%,24,0.0%,13
16,SD,1.8%,16,2.2%,16,8-4,12.8%,6,10.2%,28,-0.8%,16
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,CIN,1.4%,15,-3.0%,19,8-3-1,-2.5%,16,0.7%,17,4.6%,7
18,ARI,-1.8%,17,-1.9%,18,9-3,-9.9%,24,-10.9%,5,-2.8%,22
19,ATL,-3.1%,20,-6.9%,22,5-7,7.7%,12,15.2%,32,4.4%,8
20,STL,-4.9%,24,1.8%,17,5-7,-8.5%,22,-1.7%,10,1.9%,10
21,CLE,-5.6%,19,-6.3%,21,7-5,-4.9%,19,-0.2%,13,-0.9%,17
22,HOU,-8.2%,21,-6.2%,20,6-6,-3.1%,17,0.3%,15,-4.8%,28
23,CHI,-10.7%,22,-14.5%,24,5-7,1.9%,14,8.6%,27,-4.1%,26
24,MIN,-11.7%,23,-13.2%,23,5-7,-13.7%,28,1.5%,20,3.4%,9
25,NYG,-14.6%,25,-15.3%,25,3-9,-6.3%,21,7.5%,25,-0.8%,15
26,NYJ,-18.4%,28,-18.0%,26,2-10,-15.4%,29,1.7%,21,-1.3%,20
27,WAS,-21.4%,27,-22.9%,27,3-9,-8.7%,23,7.8%,26,-4.9%,29
28,CAR,-22.4%,29,-25.8%,28,3-8-1,-10.0%,25,6.1%,23,-6.3%,32
29,TEN,-26.2%,30,-31.0%,32,2-10,-12.1%,26,11.8%,30,-2.2%,21
30,OAK,-28.5%,26,-28.5%,30,1-11,-24.6%,30,4.5%,22,0.5%,12
31,TB,-29.4%,32,-26.5%,29,2-10,-24.8%,31,1.2%,18,-3.3%,23
32,JAC,-29.9%,31,-29.2%,31,2-10,-27.7%,32,-1.3%,11,-3.6%,24
