,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,29.2%,1,24.3%,3,11-4,20.0%,3,-13.6%,3,-4.4%,28
2,SEA,28.9%,3,29.1%,2,11-4,17.8%,4,-13.4%,4,-2.3%,21
3,NE,24.9%,2,35.8%,1,12-3,14.4%,6,-4.7%,9,5.8%,6
4,GB,22.5%,5,23.6%,4,11-4,23.0%,1,-2.3%,13,-2.8%,23
5,BAL,22.2%,4,22.0%,5,9-6,8.8%,11,-5.3%,8,8.1%,1
6,DAL,12.5%,13,15.7%,6,11-4,16.4%,5,4.5%,23,0.6%,12
7,PHI,12.1%,7,15.3%,7,9-6,0.0%,14,-4.4%,10,7.7%,2
8,PIT,9.8%,9,13.4%,8,10-5,23.0%,2,12.9%,30,-0.3%,15
9,KC,8.9%,6,9.6%,9,8-7,5.3%,12,2.6%,19,6.3%,4
10,BUF,7.6%,8,8.2%,10,8-7,-13.1%,27,-14.4%,2,6.3%,3
11,MIA,6.8%,11,7.0%,11,8-7,10.1%,9,-1.8%,15,-5.2%,30
12,CIN,6.4%,15,0.9%,15,10-4-1,-1.4%,16,-1.8%,14,6.0%,5
13,DET,5.7%,12,2.5%,14,11-4,-4.9%,19,-15.5%,1,-5.0%,29
14,SF,5.1%,16,5.9%,13,7-8,-3.5%,18,-12.1%,5,-3.5%,25
15,IND,2.9%,10,0.7%,16,10-5,-0.5%,15,0.0%,16,3.4%,7
16,SD,1.9%,14,0.2%,18,9-6,9.7%,10,6.0%,26,-1.8%,19
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,NO,0.2%,17,0.6%,17,6-9,11.5%,7,13.5%,31,2.2%,11
18,ATL,0.1%,20,-1.2%,20,6-9,11.5%,8,14.1%,32,2.7%,10
19,STL,-2.6%,19,6.7%,12,6-9,-8.5%,23,-2.8%,12,3.1%,8
20,HOU,-4.4%,21,-0.5%,19,8-7,-6.8%,22,-6.4%,7,-3.9%,27
21,NYG,-4.9%,23,-4.6%,21,6-9,-1.6%,17,3.5%,22,0.2%,13
22,ARI,-5.7%,18,-8.2%,23,11-4,-11.8%,26,-8.4%,6,-2.3%,22
23,CLE,-7.7%,22,-11.7%,24,7-8,-11.0%,24,-3.2%,11,0.2%,14
24,MIN,-9.0%,24,-5.7%,22,6-9,-6.6%,21,5.1%,24,2.7%,9
25,CHI,-12.3%,25,-20.6%,27,5-10,2.4%,13,11.8%,28,-2.9%,24
26,CAR,-12.4%,26,-11.7%,25,6-8-1,-5.9%,20,0.8%,17,-5.8%,32
27,NYJ,-18.6%,27,-19.5%,26,3-12,-14.0%,29,3.3%,21,-1.3%,17
28,OAK,-25.0%,28,-25.6%,29,3-12,-18.8%,30,5.4%,25,-0.8%,16
29,WAS,-26.5%,29,-37.4%,32,4-11,-11.6%,25,9.2%,27,-5.7%,31
30,TEN,-27.8%,30,-32.4%,31,2-13,-13.9%,28,12.0%,29,-1.9%,20
31,JAC,-30.1%,31,-23.0%,28,3-12,-25.0%,31,1.4%,18,-3.6%,26
32,TB,-32.5%,32,-29.0%,30,2-13,-27.9%,32,3.1%,20,-1.5%,18
