,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,SEA,40.7%,1,41.8%,1,11-1,13.3%,5,-20.7%,1,6.8%,2
2,DEN,32.1%,2,28.3%,3,10-2,32.6%,1,0.7%,18,0.1%,17
3,CAR,30.2%,3,32.1%,2,9-3,11.4%,8,-18.0%,2,0.8%,14
4,NO,20.1%,4,20.9%,5,9-3,16.5%,4,-4.9%,11,-1.3%,21
5,NE,19.1%,5,22.5%,4,9-3,11.8%,6,-1.2%,16,6.1%,4
6,SF,16.7%,6,17.6%,6,8-4,5.1%,14,-8.9%,6,2.7%,10
7,CIN,14.8%,7,16.6%,7,8-4,-5.1%,21,-15.5%,4,4.4%,7
8,KC,10.9%,9,7.8%,11,9-3,-0.3%,16,-4.1%,12,7.0%,1
9,PHI,10.5%,10,13.4%,8,7-5,18.2%,3,7.6%,25,-0.1%,19
10,CHI,10.5%,8,7.6%,12,6-6,11.0%,9,1.6%,19,1.1%,12
11,ARI,7.6%,11,9.7%,9,7-5,-7.2%,24,-17.2%,3,-2.5%,24
12,STL,4.4%,14,8.6%,10,5-7,-4.3%,20,-2.4%,13,6.3%,3
13,DET,3.5%,18,4.4%,13,7-5,5.4%,13,-1.7%,15,-3.6%,26
14,DAL,2.4%,12,1.7%,15,7-5,7.9%,10,9.4%,27,3.9%,9
15,IND,1.0%,17,-3.1%,19,8-4,3.8%,15,3.7%,20,0.9%,13
16,PIT,0.5%,15,3.4%,14,5-7,5.7%,12,5.4%,23,0.3%,15
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,MIA,-1.1%,21,0.2%,17,6-6,-0.7%,17,-2.2%,14,-2.5%,25
18,SD,-1.4%,19,0.3%,16,5-7,22.0%,2,23.6%,32,0.2%,16
19,TB,-1.9%,16,-1.3%,18,3-9,-6.6%,22,-6.3%,10,-1.6%,22
20,BUF,-4.6%,20,-7.1%,21,4-8,-8.2%,25,-9.0%,5,-5.4%,28
21,GB,-5.6%,13,-9.1%,24,5-6-1,11.7%,7,15.3%,30,-1.9%,23
22,TEN,-7.7%,22,-9.0%,23,5-7,-2.3%,18,-0.9%,17,-6.2%,29
23,BAL,-8.6%,23,-6.6%,20,6-6,-20.7%,30,-7.5%,8,4.7%,5
24,ATL,-10.3%,24,-13.3%,25,3-9,6.0%,11,15.5%,31,-0.8%,20
25,NYG,-12.5%,26,-7.8%,22,5-7,-12.9%,27,-7.9%,7,-7.5%,31
26,MIN,-13.4%,27,-13.5%,26,3-8-1,-7.1%,23,10.7%,28,4.5%,6
27,NYJ,-15.6%,25,-18.5%,27,5-7,-27.2%,31,-7.4%,9,4.2%,8
28,WAS,-22.3%,29,-21.7%,28,3-9,-3.0%,19,8.1%,26,-11.2%,32
29,CLE,-22.8%,28,-23.9%,29,4-8,-17.7%,28,5.1%,22,0.0%,18
30,HOU,-23.1%,30,-25.6%,30,2-10,-12.3%,26,4.1%,21,-6.7%,30
31,OAK,-30.3%,31,-30.8%,31,4-8,-18.4%,29,6.8%,24,-5.0%,27
32,JAC,-47.7%,32,-40.1%,32,3-9,-36.1%,32,14.0%,29,2.4%,11
