,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,37.3%,1,36.2%,1,7-2,23.4%,1,-17.7%,2,-3.8%,25
2,BAL,23.0%,2,23.7%,2,6-4,8.2%,12,-6.4%,9,8.4%,2
3,GB,21.3%,5,21.3%,3,6-3,20.6%,2,-0.7%,11,0.0%,15
4,SEA,20.7%,4,19.4%,5,6-3,13.1%,5,-9.9%,7,-2.3%,23
5,PHI,19.9%,6,21.0%,4,7-2,-1.2%,17,-10.6%,6,10.5%,1
6,MIA,15.5%,3,16.6%,6,5-4,4.1%,13,-16.0%,3,-4.6%,27
7,IND,13.0%,8,14.5%,7,6-3,11.0%,8,3.6%,18,5.6%,5
8,NE,13.0%,7,12.7%,9,7-2,10.5%,9,4.7%,22,7.1%,3
9,DET,10.6%,12,10.5%,10,7-2,-6.5%,22,-24.6%,1,-7.5%,32
10,KC,10.4%,10,13.5%,8,6-3,8.3%,11,1.4%,16,3.5%,8
11,PIT,8.6%,9,9.7%,11,6-4,17.3%,3,7.6%,25,-1.1%,19
12,NO,6.8%,11,8.8%,12,4-5,13.6%,4,8.3%,26,1.4%,12
13,BUF,6.3%,14,5.2%,14,5-4,-14.5%,27,-14.6%,4,6.2%,4
14,DAL,6.2%,15,6.7%,13,7-3,11.4%,6,3.8%,19,-1.4%,21
15,ARI,3.3%,16,2.8%,15,8-1,-10.2%,25,-13.2%,5,0.4%,13
16,SF,0.4%,20,-0.1%,16,5-4,-4.3%,20,-9.7%,8,-5.0%,28
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,CLE,-0.2%,19,-1.0%,17,6-3,-1.0%,16,-0.7%,12,0.2%,14
18,SD,-2.7%,17,-3.0%,18,5-4,11.3%,7,13.7%,31,-0.3%,16
19,ATL,-3.7%,18,-4.5%,19,3-6,10.0%,10,17.5%,32,3.8%,7
20,CIN,-4.1%,13,-7.4%,21,5-3-1,-4.1%,19,4.2%,21,4.3%,6
21,NYG,-7.3%,23,-5.5%,20,3-6,-2.1%,18,4.0%,20,-1.3%,20
22,WAS,-7.9%,22,-9.6%,22,3-6,-0.5%,15,3.1%,17,-4.3%,26
23,HOU,-11.6%,25,-12.0%,23,4-5,-4.9%,21,0.9%,15,-5.7%,31
24,NYJ,-12.3%,28,-12.3%,24,2-8,-15.0%,28,-0.4%,13,2.3%,9
25,MIN,-14.8%,27,-14.1%,25,4-5,-17.4%,29,-0.8%,10,1.8%,11
26,CHI,-15.4%,21,-18.6%,27,3-6,-0.3%,14,10.0%,30,-5.1%,29
27,TEN,-17.1%,26,-19.0%,28,2-7,-8.0%,23,8.5%,27,-0.7%,17
28,STL,-19.8%,30,-17.4%,26,3-6,-11.2%,26,7.5%,24,-1.1%,18
29,CAR,-21.0%,24,-23.8%,30,3-6-1,-9.9%,24,9.5%,29,-1.7%,22
30,OAK,-22.0%,29,-21.1%,29,0-9,-19.4%,30,4.7%,23,2.2%,10
31,JAC,-26.2%,31,-24.3%,31,1-9,-22.1%,32,0.4%,14,-3.8%,24
32,TB,-35.8%,32,-35.5%,32,1-8,-21.4%,31,9.2%,28,-5.3%,30
