,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,SEA,37.9%,2,37.6%,1,10-1,12.2%,6,-18.2%,1,7.4%,1
2,DEN,32.9%,1,29.9%,2,9-2,30.9%,1,0.3%,16,2.3%,11
3,CAR,26.9%,3,27.0%,3,8-3,10.9%,7,-15.2%,3,0.8%,17
4,NO,24.2%,4,23.3%,4,9-2,20.0%,3,-5.6%,12,-1.4%,19
5,NE,20.1%,6,21.8%,5,8-3,9.5%,9,-4.2%,13,6.4%,2
6,SF,16.6%,8,18.4%,6,7-4,4.1%,15,-9.7%,6,2.7%,10
7,CIN,13.5%,7,14.9%,7,7-4,-5.2%,21,-14.7%,4,4.0%,8
8,CHI,11.7%,5,11.9%,9,6-5,10.8%,8,1.2%,17,2.1%,14
9,KC,9.3%,9,7.1%,11,9-2,-1.5%,17,-5.6%,11,5.2%,6
10,PHI,8.9%,10,12.7%,8,6-5,18.9%,4,8.6%,27,-1.5%,21
11,ARI,6.8%,14,8.8%,10,7-4,-9.0%,25,-18.1%,2,-2.3%,25
12,DAL,4.0%,11,3.4%,13,6-5,6.3%,12,8.4%,25,6.1%,3
13,GB,2.7%,12,1.3%,16,5-5-1,18.2%,5,13.6%,29,-1.9%,23
14,STL,2.1%,20,6.5%,12,5-6,-5.4%,22,-1.5%,15,6.1%,4
15,PIT,1.7%,18,3.4%,14,5-6,4.2%,14,4.6%,22,2.2%,13
16,TB,1.4%,17,2.0%,15,3-8,-4.5%,20,-7.4%,10,-1.4%,20
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,IND,0.1%,13,-3.2%,19,7-4,7.7%,10,8.5%,26,0.8%,16
18,DET,-0.9%,15,-1.3%,17,6-5,5.2%,13,3.6%,20,-2.5%,26
19,SD,-1.3%,16,-1.7%,18,5-6,23.8%,2,25.1%,32,0.0%,18
20,BUF,-3.4%,19,-4.8%,21,4-7,-7.6%,23,-9.0%,7,-4.8%,27
21,MIA,-4.0%,21,-3.3%,20,5-6,-3.7%,18,-1.9%,14,-2.2%,24
22,TEN,-7.6%,23,-8.0%,23,5-6,1.7%,16,2.4%,18,-6.9%,29
23,BAL,-7.9%,22,-6.9%,22,5-6,-20.0%,30,-8.7%,8,3.4%,9
24,ATL,-8.6%,25,-11.2%,25,2-9,7.5%,11,14.5%,31,-1.5%,22
25,NYJ,-10.7%,24,-11.6%,26,5-6,-25.8%,31,-10.3%,5,4.8%,7
26,NYG,-12.7%,27,-8.8%,24,4-7,-12.8%,26,-8.1%,9,-7.9%,31
27,MIN,-12.8%,26,-13.1%,27,2-8-1,-7.9%,24,10.5%,28,5.7%,5
28,CLE,-20.6%,28,-21.3%,28,4-7,-18.0%,28,3.6%,21,1.0%,15
29,WAS,-24.2%,29,-24.0%,29,3-8,-4.0%,19,8.0%,24,-12.1%,32
30,HOU,-26.2%,30,-29.2%,30,2-9,-16.0%,27,2.6%,19,-7.6%,30
31,OAK,-31.5%,31,-30.5%,31,4-7,-19.0%,29,6.2%,23,-6.3%,28
32,JAC,-51.4%,32,-47.2%,32,2-9,-39.9%,32,13.8%,30,2.2%,12
