,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,NE,33.7%,1,32.0%,1,10-0,20.8%,2,-4.3%,10,8.7%,1
2,ARI,29.6%,2,26.2%,4,8-2,16.3%,3,-13.9%,4,-0.5%,17
3,CIN,29.5%,3,30.0%,3,8-2,20.8%,1,-5.4%,9,3.3%,10
4,CAR,29.1%,4,31.1%,2,10-0,9.6%,8,-23.5%,2,-4.0%,28
5,SEA,22.7%,5,24.1%,6,5-5,9.5%,9,-7.8%,8,5.4%,3
6,KC,20.8%,9,24.4%,5,5-5,8.8%,10,-7.8%,7,4.2%,7
7,PIT,15.2%,6,14.8%,7,6-4,15.5%,4,-1.3%,14,-1.7%,20
8,GB,14.3%,8,9.8%,9,7-3,13.1%,5,-1.4%,13,-0.3%,15
9,DEN,12.6%,11,12.3%,8,8-2,-16.0%,30,-24.2%,1,4.4%,6
10,BUF,9.7%,10,8.1%,11,5-5,9.7%,6,1.4%,18,1.5%,11
11,NYJ,9.2%,7,8.2%,10,5-5,-1.3%,16,-12.7%,5,-2.3%,22
12,NYG,1.8%,13,1.9%,12,5-5,0.0%,15,4.0%,20,5.8%,2
13,PHI,-1.4%,12,-1.3%,14,4-6,-10.6%,26,-10.3%,6,-1.2%,19
14,OAK,-2.1%,14,-1.9%,15,4-6,7.2%,11,8.5%,27,-0.7%,18
15,TB,-3.7%,24,-0.2%,13,5-5,-2.3%,18,-1.3%,15,-2.7%,23
16,MIN,-4.7%,19,-2.9%,16,7-3,-5.1%,22,3.2%,19,3.6%,9
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,BAL,-5.0%,16,-5.0%,17,3-7,-3.2%,19,7.0%,26,5.2%,4
18,ATL,-5.6%,18,-6.7%,22,6-4,-1.7%,17,1.0%,17,-2.8%,25
19,STL,-5.9%,17,-6.7%,21,4-6,-22.1%,32,-15.8%,3,0.5%,13
20,WAS,-6.0%,15,-5.8%,20,4-6,-3.9%,20,6.2%,24,4.0%,8
21,IND,-6.7%,21,-5.8%,19,5-5,-7.2%,24,-0.8%,16,-0.3%,14
22,MIA,-7.7%,20,-5.2%,18,4-6,0.9%,14,6.3%,25,-2.3%,21
23,HOU,-9.9%,27,-9.0%,23,5-5,-6.8%,23,-2.8%,12,-5.8%,31
24,JAC,-12.2%,23,-12.3%,25,4-6,-4.7%,21,4.2%,21,-3.3%,27
25,TEN,-12.3%,28,-13.6%,26,2-8,-12.2%,27,-4.1%,11,-4.1%,29
26,DAL,-13.3%,22,-14.2%,27,3-7,-8.5%,25,4.3%,22,-0.5%,16
27,CHI,-13.8%,25,-10.1%,24,4-6,3.5%,12,11.2%,28,-6.1%,32
28,DET,-16.7%,31,-16.1%,28,3-7,-12.7%,28,5.4%,23,1.3%,12
29,NO,-18.4%,29,-19.1%,29,4-6,9.7%,7,25.2%,32,-2.9%,26
30,SD,-19.4%,26,-19.4%,30,2-8,1.9%,13,16.0%,30,-5.3%,30
31,CLE,-21.6%,30,-21.3%,31,2-8,-12.9%,29,13.1%,29,4.5%,5
32,SF,-39.6%,32,-39.3%,32,3-7,-17.4%,31,19.3%,31,-2.8%,24
