,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,SEA,35.3%,2,44.3%,1,9-5,20.4%,2,-12.1%,5,2.8%,9
2,CIN,30.3%,1,29.0%,4,11-3,17.3%,5,-10.2%,7,2.9%,8
3,ARI,29.7%,6,21.9%,7,12-2,19.4%,3,-12.3%,3,-2.0%,22
4,NE,28.2%,3,23.6%,6,12-2,18.0%,4,-6.2%,10,4.0%,3
5,KC,27.1%,4,36.9%,2,9-5,11.9%,6,-12.2%,4,2.9%,7
6,CAR,25.2%,5,29.3%,3,14-0,8.0%,8,-20.5%,2,-3.3%,26
7,PIT,22.9%,7,26.5%,5,9-5,20.4%,1,-2.2%,12,0.3%,16
8,DEN,17.1%,8,17.9%,8,10-4,-11.8%,25,-28.0%,1,1.0%,14
9,GB,14.8%,9,3.2%,14,10-4,8.0%,9,-6.8%,9,0.0%,17
10,NYJ,9.8%,10,8.1%,10,9-5,1.1%,14,-12.0%,6,-3.3%,27
11,MIN,3.7%,13,10.5%,9,9-5,1.1%,15,0.6%,16,3.2%,5
12,OAK,2.4%,12,4.5%,12,6-8,3.6%,12,-0.4%,14,-1.7%,21
13,BUF,1.4%,11,-2.7%,18,6-8,11.2%,7,11.3%,29,1.5%,12
14,DET,-1.5%,15,4.5%,11,5-9,-2.0%,19,0.9%,17,1.3%,13
15,WAS,-2.5%,17,3.3%,13,7-7,-1.5%,17,4.0%,20,3.1%,6
16,NYG,-3.0%,14,-2.4%,17,6-8,0.8%,16,9.1%,27,5.4%,2
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,STL,-3.8%,21,-8.4%,21,6-8,-16.9%,30,-9.8%,8,3.4%,4
18,BAL,-5.9%,19,-7.2%,20,4-10,-6.9%,21,5.8%,22,6.8%,1
19,CHI,-6.8%,20,0.7%,16,5-9,5.0%,11,8.9%,26,-2.8%,25
20,TB,-7.4%,16,1.3%,15,6-8,-2.0%,18,1.7%,18,-3.7%,29
21,PHI,-9.0%,18,-11.7%,23,6-8,-12.6%,27,-1.4%,13,2.2%,10
22,JAC,-10.4%,23,-8.8%,22,5-9,-2.4%,20,6.7%,24,-1.3%,20
23,HOU,-10.5%,22,-6.6%,19,7-7,-8.7%,23,-4.1%,11,-6.0%,32
24,ATL,-15.5%,24,-19.9%,27,7-7,-7.9%,22,6.2%,23,-1.3%,19
25,SD,-16.2%,29,-17.4%,24,4-10,2.2%,13,13.0%,31,-5.4%,31
26,DAL,-17.6%,26,-17.7%,25,4-10,-16.3%,29,3.3%,19,2.1%,11
27,IND,-17.9%,28,-18.7%,26,6-8,-17.5%,31,0.5%,15,0.0%,18
28,NO,-21.0%,27,-22.3%,28,5-9,7.5%,10,25.7%,32,-2.8%,24
29,MIA,-22.2%,25,-23.0%,29,5-9,-9.2%,24,10.3%,28,-2.6%,23
30,TEN,-23.5%,30,-28.5%,32,3-11,-13.7%,28,5.7%,21,-4.0%,30
31,CLE,-23.9%,31,-23.9%,30,3-11,-12.4%,26,12.0%,30,0.5%,15
32,SF,-29.4%,32,-28.0%,31,4-10,-18.0%,32,8.1%,25,-3.3%,28
