,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,NE,40.5%,1,40.4%,1,7-0,29.5%,1,-2.2%,10,8.8%,1
2,ARI,36.7%,2,36.3%,2,6-2,20.4%,3,-17.6%,6,-1.3%,20
3,CIN,30.4%,4,30.1%,3,7-0,24.2%,2,-1.8%,12,4.4%,7
4,GB,25.0%,3,24.5%,4,6-1,16.5%,4,-6.0%,8,2.5%,9
5,NYJ,22.8%,5,22.9%,5,4-3,9.4%,8,-18.6%,5,-5.3%,28
6,DEN,21.0%,11,21.3%,6,7-0,-17.3%,30,-36.0%,1,2.3%,11
7,CAR,18.2%,7,18.4%,7,7-0,2.2%,14,-20.6%,2,-4.6%,27
8,OAK,14.9%,13,15.4%,8,4-3,13.9%,5,1.3%,15,2.3%,10
9,SEA,13.9%,6,14.1%,9,4-4,0.4%,15,-7.0%,7,6.6%,3
10,PIT,13.9%,9,13.8%,10,4-4,12.9%,6,-2.0%,11,-1.0%,19
11,KC,13.0%,15,13.7%,11,3-5,8.5%,9,0.8%,14,5.2%,6
12,PHI,12.9%,8,13.2%,12,3-4,-7.6%,21,-19.9%,3,0.5%,14
13,STL,4.8%,16,4.7%,13,4-3,-14.5%,28,-19.0%,4,0.3%,16
14,BUF,4.5%,10,4.2%,14,3-4,3.6%,12,0.4%,13,1.3%,12
15,NYG,2.2%,12,2.1%,15,4-4,3.0%,13,7.2%,25,6.4%,4
16,BAL,-1.8%,18,-2.0%,16,2-6,0.0%,16,8.6%,26,6.8%,2
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,ATL,-5.0%,17,-5.4%,17,6-2,3.8%,11,5.0%,19,-3.8%,25
18,WAS,-5.6%,19,-5.7%,18,3-4,-0.2%,17,6.3%,22,0.9%,13
19,NO,-8.1%,20,-8.0%,19,4-4,11.8%,7,16.9%,32,-2.9%,24
20,MIA,-9.0%,14,-8.3%,20,3-4,-2.9%,18,5.3%,20,-0.9%,18
21,IND,-10.9%,21,-10.7%,21,3-5,-8.6%,23,2.7%,16,0.3%,15
22,CLE,-13.0%,23,-12.9%,22,2-6,-10.0%,25,8.6%,27,5.7%,5
23,SD,-13.3%,24,-13.1%,23,2-6,6.3%,10,13.7%,29,-5.8%,29
24,JAC,-15.2%,25,-15.3%,24,2-5,-4.1%,19,4.8%,18,-6.3%,31
25,DAL,-15.6%,26,-15.9%,26,2-5,-8.1%,22,3.2%,17,-4.3%,26
26,TB,-16.3%,27,-15.7%,25,3-4,-9.5%,24,6.3%,23,-0.5%,17
27,MIN,-17.3%,28,-17.4%,27,5-2,-14.4%,27,6.9%,24,4.0%,8
28,TEN,-17.5%,22,-17.9%,28,1-6,-21.1%,32,-6.0%,9,-2.3%,23
29,CHI,-23.0%,30,-22.7%,29,2-5,-4.1%,20,12.1%,28,-6.8%,32
30,HOU,-23.7%,31,-23.4%,30,3-5,-12.0%,26,5.6%,21,-6.2%,30
31,DET,-31.4%,29,-31.8%,31,1-7,-14.9%,29,14.8%,30,-1.7%,21
32,SF,-39.0%,32,-38.7%,32,2-6,-20.3%,31,16.6%,31,-2.0%,22
