,TEAM,TOTALDVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,40.9%,1,38.7%,1,6-1,41.9%,1,7.9%,26,6.8%,3
2,SEA,34.4%,2,32.7%,2,6-1,8.3%,12,-22.3%,1,3.8%,10
3,IND,26.2%,5,23.3%,3,5-2,17.0%,5,-4.6%,11,4.6%,8
4,KC,23.2%,3,19.6%,6,7-0,-3.3%,18,-19.3%,2,7.3%,2
5,GB,22.5%,7,22.9%,4,4-2,26.2%,2,1.6%,18,-2.1%,26
6,CAR,20.4%,8,19.6%,5,3-3,6.3%,14,-14.3%,3,-0.2%,20
7,NO,19.0%,4,16.9%,7,5-1,15.5%,6,-1.9%,16,1.7%,14
8,CHI,17.7%,6,16.1%,9,4-3,14.5%,7,1.0%,17,4.2%,9
9,DAL,16.2%,11,14.4%,10,4-3,7.1%,13,-2.8%,14,6.3%,4
10,SF,16.1%,10,16.6%,8,5-2,10.1%,9,-4.5%,12,1.5%,15
11,CIN,13.2%,9,12.5%,11,5-2,2.6%,15,-7.6%,7,3.0%,12
12,NE,9.7%,13,10.8%,12,5-2,-4.7%,19,-7.1%,8,7.3%,1
13,SD,3.2%,16,2.5%,13,4-3,25.8%,3,21.6%,32,-1.0%,24
14,DET,2.6%,12,2.2%,14,4-3,9.8%,10,6.3%,24,-0.9%,23
15,ATL,0.1%,19,0.4%,15,2-4,17.3%,4,16.2%,30,-0.9%,22
16,NYJ,-0.6%,18,-1.3%,16,4-3,-18.4%,30,-12.8%,4,5.1%,7
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,BUF,-1.0%,14,-2.3%,17,3-4,-7.4%,21,-9.4%,6,-3.0%,27
18,PIT,-3.7%,21,-2.9%,18,2-4,-0.3%,16,4.5%,22,1.2%,16
19,ARI,-4.2%,17,-4.3%,19,3-4,-15.1%,23,-10.0%,5,0.9%,19
20,PHI,-4.6%,15,-4.4%,20,3-4,14.2%,8,12.1%,29,-6.7%,28
21,TEN,-7.7%,20,-8.5%,22,3-4,-2.2%,17,-2.4%,15,-7.9%,29
22,MIA,-8.8%,25,-9.2%,23,3-3,-6.0%,20,4.0%,20,1.1%,17
23,BAL,-9.1%,23,-7.1%,21,3-4,-15.5%,25,-4.6%,10,1.7%,13
24,TB,-12.9%,22,-11.6%,24,0-6,-19.6%,31,-5.7%,9,1.1%,18
25,CLE,-14.8%,24,-13.9%,25,3-4,-16.5%,27,3.6%,19,5.4%,6
26,STL,-17.2%,26,-17.2%,27,3-4,-11.8%,22,8.7%,27,3.4%,11
27,MIN,-17.6%,27,-16.9%,26,1-5,-16.0%,26,7.0%,25,5.4%,5
28,OAK,-21.5%,28,-20.2%,29,2-4,-15.2%,24,4.2%,21,-2.1%,25
29,WAS,-21.6%,30,-18.0%,28,2-4,8.8%,11,12.0%,28,-18.3%,32
30,HOU,-23.7%,29,-21.3%,30,2-5,-17.2%,28,-3.1%,13,-9.7%,30
31,NYG,-34.9%,31,-31.3%,31,1-6,-18.2%,29,5.2%,23,-11.4%,31
32,JAC,-63.4%,32,-59.2%,32,0-7,-44.9%,32,17.9%,31,-0.6%,21
