,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,NE,40.0%,1,39.7%,1,8-0,25.2%,1,-7.3%,8,7.5%,1
2,ARI,36.2%,2,34.7%,2,6-2,19.3%,3,-18.4%,3,-1.4%,17
3,CIN,30.0%,3,28.5%,3,8-0,23.2%,2,-3.7%,10,3.1%,9
4,CAR,21.6%,7,22.4%,4,8-0,5.4%,10,-21.1%,2,-4.8%,28
5,NYJ,19.7%,5,19.1%,5,5-3,4.9%,11,-17.6%,4,-2.9%,25
6,GB,18.7%,4,17.0%,8,6-2,14.3%,5,-3.1%,11,1.3%,12
7,PIT,16.8%,10,17.1%,7,5-4,15.6%,4,-2.7%,12,-1.5%,18
8,DEN,16.4%,6,17.4%,6,7-1,-17.5%,31,-29.1%,1,4.8%,6
9,SEA,14.0%,9,15.5%,9,4-4,-0.9%,15,-8.4%,7,6.4%,4
10,PHI,13.0%,12,14.0%,10,4-4,-4.5%,22,-17.2%,6,0.3%,15
11,KC,12.3%,11,12.9%,12,3-5,7.7%,9,0.5%,13,5.0%,5
12,OAK,10.7%,8,13.3%,11,4-4,12.9%,6,4.1%,18,1.9%,11
13,BUF,9.2%,14,8.0%,13,4-4,9.7%,8,2.7%,16,2.2%,10
14,STL,3.6%,13,3.3%,14,4-4,-15.0%,28,-17.5%,5,1.0%,14
15,NYG,0.5%,15,0.6%,15,5-4,-1.9%,17,4.6%,20,7.0%,2
16,BAL,-3.3%,16,-3.7%,16,2-6,-1.6%,16,8.2%,25,6.5%,3
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,ATL,-5.2%,17,-5.6%,17,6-3,0.8%,14,4.4%,19,-1.6%,19
18,IND,-7.4%,21,-6.8%,18,4-5,-4.5%,23,1.7%,15,-1.2%,16
19,WAS,-8.8%,18,-8.1%,19,3-5,-4.2%,20,5.8%,23,1.2%,13
20,JAC,-9.1%,24,-9.0%,21,2-6,-2.8%,18,0.8%,14,-5.5%,29
21,MIA,-9.1%,20,-8.9%,20,3-5,2.7%,13,10.0%,27,-1.8%,22
22,NO,-11.7%,19,-11.3%,23,4-5,11.4%,7,19.4%,32,-3.8%,27
23,DAL,-12.9%,25,-12.9%,25,2-6,-4.2%,21,7.0%,24,-1.6%,20
24,TEN,-13.7%,28,-17.0%,28,2-6,-16.8%,30,-5.0%,9,-2.0%,23
25,TB,-14.1%,26,-10.7%,22,3-5,-8.9%,24,2.9%,17,-2.3%,24
26,MIN,-14.9%,27,-12.4%,24,6-2,-13.2%,27,5.4%,22,3.7%,8
27,SD,-15.3%,23,-15.9%,26,2-7,4.5%,12,14.0%,29,-5.8%,30
28,CLE,-16.8%,22,-16.1%,27,2-7,-11.8%,25,9.6%,26,4.5%,7
29,CHI,-21.6%,29,-21.2%,29,3-5,-3.2%,19,10.8%,28,-7.6%,32
30,HOU,-23.5%,30,-22.9%,30,3-5,-12.6%,26,4.6%,21,-6.3%,31
31,DET,-32.5%,31,-32.7%,31,1-7,-16.1%,29,14.5%,31,-1.8%,21
32,SF,-36.3%,32,-37.9%,32,3-6,-19.1%,32,14.1%,30,-3.2%,26
