,TEAM,TOTALDVOA,LASTWEEK,TOTAL DAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,41.3%,3,34.5%,1,3-1,26.3%,1,-15.6%,2,-0.6%,19
2,SEA,38.5%,2,29.4%,2,3-1,23.8%,2,-12.0%,4,2.6%,9
3,GB,29.3%,6,25.8%,3,3-2,18.1%,5,-6.4%,12,4.7%,5
4,BAL,22.6%,5,15.2%,4,3-2,10.8%,10,-10.2%,5,1.6%,13
5,CIN,19.5%,1,13.3%,6,3-1,14.4%,6,-7.2%,9,-2.1%,22
6,ATL,18.7%,4,12.5%,7,2-3,22.1%,3,12.7%,28,9.3%,2
7,SD,15.7%,12,14.7%,5,4-1,9.0%,11,-5.6%,13,1.0%,17
8,NYG,9.8%,11,6.2%,9,3-2,3.2%,14,-8.8%,7,-2.3%,23
9,DET,9.2%,7,4.5%,13,3-2,-3.9%,20,-22.6%,1,-9.5%,30
10,NE,6.7%,23,8.9%,8,3-2,-5.4%,21,-6.5%,11,5.6%,4
11,PIT,6.5%,15,5.5%,12,3-2,10.9%,9,6.3%,21,1.8%,12
12,DAL,5.8%,13,2.6%,17,4-1,11.1%,8,7.4%,24,2.1%,10
13,PHI,5.6%,9,5.6%,10,4-1,-5.5%,22,-1.0%,16,10.2%,1
14,KC,4.9%,18,2.0%,18,2-3,4.3%,12,1.0%,17,1.6%,14
15,BUF,4.4%,10,2.6%,16,3-2,-17.4%,27,-13.8%,3,8.0%,3
16,SF,4.1%,19,5.5%,11,3-2,0.5%,18,-9.9%,6,-6.3%,29
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,IND,4.1%,17,2.7%,15,3-2,3.5%,13,3.1%,20,3.7%,7
18,CLE,2.2%,16,-4.1%,20,2-2,21.2%,4,17.9%,31,-1.1%,21
19,CHI,0.8%,14,3.0%,14,2-3,2.2%,16,-4.1%,14,-5.5%,26
20,ARI,0.4%,8,-1.5%,19,3-1,-8.2%,24,-6.7%,10,1.9%,11
21,MIA,-2.9%,20,-4.3%,22,2-2,-0.7%,19,-8.7%,8,-10.9%,32
22,CAR,-7.9%,27,-5.5%,23,3-2,1.0%,17,10.1%,27,1.2%,16
23,WAS,-8.1%,22,-8.3%,24,1-4,2.9%,15,1.1%,18,-10.0%,31
24,HOU,-9.5%,24,-9.4%,25,3-2,-9.4%,26,-2.8%,15,-3.0%,24
25,NO,-10.6%,21,-4.2%,21,2-3,11.6%,7,22.3%,32,0.1%,18
26,TEN,-21.6%,28,-17.9%,27,1-4,-8.4%,25,7.1%,23,-6.1%,28
27,NYJ,-23.6%,25,-18.3%,28,1-4,-24.9%,29,1.7%,19,2.9%,8
28,STL,-25.7%,29,-16.0%,26,1-3,-7.8%,23,12.9%,30,-5.1%,25
29,MIN,-27.2%,26,-20.6%,29,2-3,-20.1%,28,8.4%,26,1.3%,15
30,OAK,-33.3%,30,-27.2%,30,0-4,-31.2%,31,6.7%,22,4.6%,6
31,TB,-40.1%,31,-29.4%,31,1-4,-26.3%,30,7.8%,25,-6.0%,27
32,JAC,-49.2%,32,-39.9%,32,0-5,-35.5%,32,12.8%,29,-1.0%,20
