,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,SEA,40.4%,1,38.4%,1,12-2,11.5%,7,-23.3%,1,5.6%,5
2,DEN,30.5%,2,26.1%,2,11-3,30.6%,1,-0.3%,15,-0.4%,20
3,CAR,25.2%,3,25.0%,4,10-4,10.8%,8,-13.4%,3,1.0%,14
4,KC,20.7%,5,21.8%,5,11-3,4.2%,13,-6.9%,10,9.6%,1
5,SF,17.9%,8,25.1%,3,10-4,5.2%,11,-8.5%,8,4.1%,7
6,NE,17.0%,6,21.0%,6,10-4,14.8%,5,3.8%,21,6.0%,3
7,NO,16.9%,4,15.6%,8,10-4,14.4%,6,-5.2%,11,-2.7%,23
8,CIN,13.9%,7,14.8%,9,9-5,-0.6%,19,-11.6%,5,2.9%,10
9,CHI,12.4%,9,9.1%,12,8-6,16.1%,4,5.5%,22,1.8%,12
10,ARI,10.9%,10,16.8%,7,9-5,-1.8%,20,-15.5%,2,-2.8%,24
11,PHI,7.7%,11,11.1%,10,8-6,19.5%,3,8.0%,25,-3.8%,26
12,SD,3.1%,14,6.5%,13,7-7,22.5%,2,20.0%,32,0.7%,15
13,PIT,3.0%,16,6.1%,14,6-8,5.2%,12,3.6%,20,1.3%,13
14,IND,2.5%,17,-4.8%,20,9-5,4.0%,14,1.5%,17,0.0%,17
15,STL,2.3%,18,9.6%,11,6-8,-7.4%,23,-3.7%,13,5.9%,4
16,DET,1.9%,12,3.2%,15,7-7,0.3%,18,-1.8%,14,-0.1%,18
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,TB,-0.9%,13,1.9%,16,4-10,-9.7%,24,-10.7%,6,-1.9%,22
18,MIA,-1.4%,19,-0.8%,18,8-6,1.8%,15,0.3%,16,-2.9%,25
19,DAL,-1.8%,15,-7.1%,21,7-7,8.4%,10,14.1%,31,3.9%,8
20,BAL,-3.1%,21,0.9%,17,8-6,-20.9%,30,-10.2%,7,7.6%,2
21,GB,-3.5%,20,-9.6%,24,7-6-1,9.3%,9,12.6%,30,-0.2%,19
22,TEN,-5.8%,23,-3.9%,19,5-9,1.1%,17,2.5%,19,-4.4%,27
23,BUF,-6.2%,22,-8.5%,23,5-9,-12.6%,25,-11.6%,4,-5.3%,28
24,MIN,-10.6%,25,-7.7%,22,4-9-1,-4.2%,21,9.6%,26,3.2%,9
25,ATL,-11.6%,24,-17.6%,27,4-10,1.6%,16,12.5%,29,-0.7%,21
26,NYJ,-13.8%,26,-19.3%,28,6-8,-22.7%,31,-4.6%,12,4.2%,6
27,CLE,-18.8%,28,-17.0%,26,4-10,-13.3%,26,5.9%,23,0.4%,16
28,NYG,-18.9%,27,-12.4%,25,5-9,-20.8%,29,-8.2%,9,-6.4%,29
29,HOU,-27.0%,29,-31.1%,30,2-12,-18.6%,28,1.8%,18,-6.6%,30
30,WAS,-27.1%,30,-25.6%,29,3-11,-7.1%,22,6.3%,24,-13.7%,32
31,OAK,-33.3%,31,-34.2%,32,4-10,-16.7%,27,9.8%,27,-6.9%,31
32,JAC,-42.3%,32,-31.4%,31,4-10,-32.1%,32,12.4%,28,2.2%,11
