,TEAM,TOTALDVOA,LASTWEEK,TOTALDAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,ARI,45.3%,2,35.4%,2,4-2,23.6%,3,-19.9%,4,1.8%,13
2,NE,44.4%,1,37.5%,1,5-0,32.8%,1,-3.7%,8,7.9%,3
3,GB,39.3%,3,33.6%,3,6-0,21.3%,4,-14.9%,6,3.1%,8
4,CIN,33.5%,4,28.3%,4,6-0,32.3%,2,2.3%,16,3.4%,7
5,NYJ,26.9%,6,19.6%,5,4-1,5.4%,10,-29.4%,2,-7.9%,31
6,PIT,20.9%,5,17.4%,6,4-2,19.8%,5,-0.4%,14,0.7%,16
7,PHI,17.1%,12,15.2%,7,3-3,-5.1%,20,-20.7%,3,1.4%,14
8,BUF,13.4%,7,9.7%,9,3-3,12.4%,6,-1.6%,10,-0.6%,20
9,SEA,12.0%,9,14.5%,8,2-4,1.3%,12,-1.1%,12,9.7%,1
10,CAR,11.1%,11,7.1%,11,5-0,2.1%,11,-15.9%,5,-6.8%,30
11,DEN,6.3%,10,7.7%,10,6-0,-27.9%,32,-31.2%,1,3.0%,9
12,NYG,3.2%,8,2.0%,12,3-3,-0.9%,14,-1.5%,11,2.7%,10
13,BAL,-0.5%,16,0.7%,13,1-5,-1.6%,16,5.2%,18,6.3%,4
14,ATL,-1.6%,13,-0.9%,15,5-1,8.8%,7,5.9%,20,-4.5%,27
15,WAS,-2.8%,15,-6.1%,20,2-4,-4.1%,18,-0.6%,13,0.7%,17
16,OAK,-2.9%,17,-4.7%,18,2-3,-2.5%,17,3.9%,17,3.5%,6
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,STL,-3.7%,18,-0.6%,14,2-3,-20.0%,30,-14.4%,7,1.9%,11
18,KC,-4.3%,23,-2.5%,16,1-5,-0.6%,13,7.3%,24,3.6%,5
19,IND,-6.5%,22,-4.1%,17,3-3,-1.2%,15,6.6%,21,1.3%,15
20,CLE,-7.8%,19,-8.3%,21,2-4,-6.9%,23,10.0%,28,9.1%,2
21,SD,-8.3%,20,-5.6%,19,2-4,6.7%,9,8.7%,26,-6.3%,29
22,MIA,-10.5%,29,-8.7%,22,2-3,-4.4%,19,8.0%,25,1.9%,12
23,TEN,-13.2%,14,-13.8%,26,1-4,-12.5%,27,-3.2%,9,-4.0%,25
24,DAL,-14.5%,24,-11.3%,23,2-3,-6.1%,21,6.8%,22,-1.6%,22
25,NO,-16.1%,26,-12.4%,24,2-4,6.8%,8,19.3%,32,-3.6%,23
26,MIN,-20.3%,21,-13.4%,25,3-2,-15.3%,29,5.4%,19,0.4%,18
27,JAC,-22.1%,25,-21.2%,28,1-5,-6.2%,22,9.8%,27,-6.0%,28
28,TB,-24.6%,27,-21.7%,29,2-3,-22.7%,31,1.4%,15,-0.5%,19
29,DET,-25.0%,28,-19.6%,27,1-5,-11.3%,26,12.2%,29,-1.5%,21
30,CHI,-25.7%,30,-21.9%,31,2-4,-7.4%,24,14.5%,30,-3.8%,24
31,HOU,-25.9%,31,-21.8%,30,2-4,-10.2%,25,7.0%,23,-8.7%,32
32,SF,-36.3%,32,-30.2%,32,2-4,-13.0%,28,19.1%,31,-4.2%,26
