,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,36.9%,1,35.2%,1,8-1,35.4%,1,3.0%,20,4.5%,8
2,SEA,33.6%,2,32.1%,2,9-1,10.1%,8,-16.8%,3,6.8%,2
3,CAR,28.7%,3,31.3%,3,6-3,7.6%,10,-19.8%,1,1.3%,15
4,NO,23.2%,7,24.8%,4,7-2,21.7%,2,-3.7%,12,-2.2%,23
5,CHI,20.5%,4,20.1%,5,5-4,14.0%,6,-3.1%,13,3.4%,10
6,SF,15.0%,6,17.0%,6,6-3,8.8%,9,-5.0%,11,1.2%,16
7,NE,13.7%,11,14.5%,7,7-2,2.2%,14,-5.3%,10,6.2%,5
8,KC,13.0%,9,12.1%,9,9-0,-3.4%,18,-10.2%,7,6.2%,4
9,CIN,12.2%,8,12.5%,8,6-4,-2.6%,17,-11.8%,4,3.0%,11
10,DET,8.5%,13,9.2%,10,6-3,13.6%,7,2.6%,19,-2.5%,24
11,DAL,6.6%,12,7.2%,11,5-5,6.5%,12,7.2%,23,7.2%,1
12,ARI,6.2%,14,7.1%,12,5-4,-13.0%,27,-19.5%,2,-0.4%,20
13,GB,5.5%,10,4.2%,13,5-4,19.7%,4,11.1%,29,-3.1%,26
14,IND,3.6%,5,3.4%,14,6-3,6.1%,13,3.0%,21,0.5%,18
15,PHI,3.6%,16,3.0%,15,5-5,16.7%,5,10.3%,28,-2.8%,25
16,STL,-2.9%,26,-3.0%,16,4-6,-10.2%,26,-1.7%,15,5.6%,6
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,SD,-3.4%,15,-3.6%,18,4-5,20.3%,3,22.9%,32,-0.8%,21
18,MIA,-3.8%,17,-5.1%,19,4-5,-3.6%,19,-1.6%,16,-1.9%,22
19,NYJ,-4.3%,19,-3.3%,17,5-4,-21.7%,30,-11.2%,5,6.3%,3
20,TB,-5.0%,23,-6.1%,20,1-8,-7.5%,22,-1.9%,14,0.6%,17
21,PIT,-6.4%,24,-6.1%,21,3-6,0.8%,16,9.1%,27,1.9%,13
22,ATL,-6.9%,18,-8.7%,25,2-7,6.9%,11,13.4%,30,-0.3%,19
23,BAL,-7.5%,21,-6.4%,22,4-5,-20.1%,29,-10.4%,6,2.2%,12
24,MIN,-8.4%,25,-7.8%,23,2-7,-5.5%,21,8.4%,25,5.5%,7
25,BUF,-8.9%,20,-11.9%,27,3-7,-9.7%,25,-5.9%,9,-5.2%,28
26,CLE,-10.1%,22,-7.9%,24,4-5,-9.4%,24,5.2%,22,4.5%,9
27,TEN,-11.3%,27,-11.3%,26,4-5,-5.3%,20,-1.1%,17,-7.1%,29
28,NYG,-19.9%,30,-19.2%,28,3-6,-14.7%,28,-6.2%,8,-11.5%,30
29,HOU,-21.1%,29,-22.1%,30,2-7,-8.8%,23,0.4%,18,-11.8%,31
30,WAS,-21.4%,28,-19.8%,29,3-6,0.9%,15,8.1%,24,-14.2%,32
31,OAK,-35.9%,31,-36.3%,31,3-6,-23.3%,31,9.1%,26,-3.6%,27
32,JAC,-62.3%,32,-60.5%,32,1-8,-44.5%,32,19.4%,31,1.6%,14
