,TEAM,TOTALDVOA,LASTWEEK,TOTALDAVE,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,CIN,36.3%,4,18.8%,3,3-0,20.8%,6,-14.8%,5,0.7%,12
2,ATL,35.8%,16,13.9%,6,2-1,22.3%,4,1.2%,17,14.6%,1
3,DEN,24.7%,1,24.3%,1,2-1,20.1%,7,-5.3%,10,-0.7%,16
4,SEA,24.6%,5,20.1%,2,2-1,24.3%,2,-2.1%,12,-1.7%,21
5,CHI,24.3%,11,15.9%,5,2-1,5.4%,11,-19.9%,4,-1.0%,18
6,BUF,21.9%,3,8.8%,9,2-1,5.6%,9,-2.3%,11,14.0%,2
7,NE,21.5%,9,17.4%,4,2-1,-8.3%,23,-27.1%,1,2.6%,9
8,PHI,20.9%,10,12.1%,7,3-0,5.1%,12,-7.0%,7,8.9%,3
9,WAS,17.0%,2,2.7%,15,1-2,13.9%,8,-20.1%,3,-17.0%,32
10,PIT,14.9%,22,8.6%,10,2-1,21.9%,5,12.6%,25,5.7%,5
11,DET,14.2%,7,2.6%,16,2-1,0.7%,17,-24.7%,2,-11.2%,29
12,ARI,12.2%,8,3.2%,13,3-0,-4.7%,22,-11.5%,6,5.4%,6
13,NO,10.8%,20,11.7%,8,1-2,24.6%,1,15.4%,31,1.6%,10
14,BAL,2.5%,13,-2.0%,18,2-1,2.2%,15,-0.4%,15,-0.2%,14
15,CAR,1.8%,6,1.7%,17,2-1,4.4%,13,-2.0%,13,-4.6%,24
16,CLE,1.5%,17,-6.7%,21,1-2,23.6%,3,18.9%,32,-3.2%,23
,"

","

","

","

","
","

","

","

","

","

","

","

"
17,GB,-0.1%,12,8.4%,11,1-2,-4.5%,21,2.2%,18,6.6%,4
18,SF,-1.9%,15,4.9%,12,1-2,5.4%,10,4.8%,21,-2.4%,22
19,DAL,-2.1%,19,-5.2%,20,2-1,3.3%,14,8.5%,24,3.1%,8
20,SD,-6.3%,25,3.1%,14,2-1,-1.8%,19,5.6%,22,1.0%,11
21,IND,-8.2%,28,-4.5%,19,1-2,1.3%,16,13.4%,27,3.8%,7
22,HOU,-11.1%,18,-10.0%,24,2-1,0.0%,18,6.1%,23,-5.0%,26
23,NYJ,-12.3%,21,-7.1%,22,1-2,-17.7%,28,-6.4%,9,-1.0%,19
24,MIA,-13.9%,23,-9.4%,23,1-2,-4.3%,20,-6.8%,8,-16.5%,31
25,TEN,-23.2%,14,-13.6%,25,1-2,-13.7%,25,-0.4%,14,-9.9%,28
26,OAK,-24.7%,27,-21.1%,30,0-3,-25.0%,29,0.1%,16,0.5%,13
27,KC,-25.8%,30,-15.6%,28,1-2,-11.5%,24,13.8%,28,-0.5%,15
28,NYG,-26.5%,31,-15.0%,27,1-2,-14.2%,26,3.2%,19,-9.2%,27
29,STL,-29.7%,29,-14.7%,26,1-2,-14.8%,27,14.0%,30,-0.9%,17
30,MIN,-35.0%,24,-16.3%,29,1-2,-29.2%,30,4.5%,20,-1.3%,20
31,JAC,-52.6%,32,-31.3%,32,0-3,-34.0%,31,13.9%,29,-4.7%,25
32,TB,-65.3%,26,-29.8%,31,0-3,-38.6%,32,12.8%,26,-13.9%,30
