,TEAM,TOTALDVOA,LASTWEEK,WEIGHTEDDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
1,DEN,41.1%,1,40.3%,1,7-1,35.5%,1,-0.2%,16,5.5%,6
2,SEA,30.0%,2,29.5%,2,8-1,6.4%,13,-17.5%,2,6.0%,5
3,CAR,26.0%,4,26.9%,3,5-3,10.7%,10,-13.6%,3,1.7%,14
4,CHI,24.2%,6,23.9%,4,5-3,16.5%,5,-4.8%,10,2.9%,11
5,IND,20.2%,3,20.8%,5,6-2,17.0%,4,1.7%,20,4.9%,7
6,SF,17.3%,8,17.0%,7,6-2,14.1%,8,-2.6%,14,0.7%,15
7,NO,17.1%,7,17.3%,6,6-2,14.8%,7,-2.7%,13,-0.4%,19
8,CIN,16.0%,5,16.2%,8,6-3,1.7%,15,-10.1%,6,4.1%,10
9,KC,14.7%,10,13.9%,10,9-0,-3.6%,18,-12.0%,4,6.3%,3
10,GB,14.4%,9,14.5%,9,5-3,23.5%,2,7.1%,26,-2.1%,25
11,NE,12.9%,13,13.6%,12,7-2,1.9%,14,-4.6%,11,6.3%,2
12,DAL,12.8%,11,13.8%,11,5-4,6.9%,12,0.9%,18,6.8%,1
13,DET,6.3%,12,6.2%,13,5-3,13.3%,9,5.1%,24,-1.9%,24
14,ARI,2.5%,14,3.8%,14,4-4,-16.5%,29,-19.1%,1,0.0%,18
15,SD,-1.5%,15,-1.3%,15,4-4,21.4%,3,22.2%,32,-0.8%,21
16,PHI,-1.6%,24,-2.1%,16,4-5,14.8%,6,13.4%,30,-3.0%,26
,  ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,  
17,MIA,-2.1%,22,-2.9%,17,4-4,-3.9%,19,-3.0%,12,-1.2%,22
18,ATL,-4.5%,18,-4.9%,18,2-6,6.9%,11,10.9%,29,-0.6%,20
19,NYJ,-5.1%,23,-5.0%,19,5-4,-22.3%,31,-11.0%,5,6.3%,4
20,BUF,-5.5%,17,-6.5%,20,3-6,-8.6%,21,-6.4%,7,-3.4%,27
21,BAL,-8.1%,19,-6.7%,21,3-5,-16.1%,27,-5.6%,8,2.3%,12
22,CLE,-9.8%,21,-8.8%,22,4-5,-10.7%,24,3.5%,21,4.4%,9
23,TB,-10.3%,27,-11.0%,24,0-8,-8.8%,22,0.3%,17,-1.3%,23
24,PIT,-10.9%,16,-10.6%,23,2-6,-0.4%,17,10.6%,28,0.0%,17
25,MIN,-11.7%,25,-11.1%,25,1-7,-9.9%,23,6.1%,25,4.4%,8
26,STL,-13.2%,26,-13.9%,26,3-6,-10.9%,25,4.4%,22,2.1%,13
27,TEN,-14.0%,20,-15.0%,27,4-4,-4.5%,20,1.4%,19,-8.1%,29
28,WAS,-18.4%,30,-17.6%,28,3-5,0.6%,16,4.7%,23,-14.3%,32
29,HOU,-22.6%,29,-23.5%,30,2-6,-11.9%,26,-2.1%,15,-12.8%,31
30,NYG,-22.6%,31,-22.4%,29,2-6,-16.1%,28,-4.9%,9,-11.4%,30
31,OAK,-36.1%,28,-37.2%,31,3-5,-22.2%,30,10.1%,27,-3.8%,28
32,JAC,-66.3%,32,-64.2%,32,0-8,-45.1%,32,21.4%,31,0.2%,16
